feature,n_valid,n_unique,passed,reasons
RAnkleAngles_ax1_tpeak_vel_pct__median,31,18,True,
RAnkleAngles_ax1_vel_rms__median,31,31,True,
RAnkleAngles_ax1_peak_acc__median,31,31,True,
RAnkleAngles_ax1_acc_rms__median,31,31,True,
RAnkleAngles_ax2_min__median,31,31,True,
RAnkleAngles_ax2_max__median,31,31,True,
RAnkleAngles_ax2_mean__median,31,31,True,
RAnkleAngles_ax2_median__median,31,31,True,
RAnkleAngles_ax2_std__median,31,31,True,
RAnkleAngles_ax2_rom__median,31,31,True,
RAnkleAngles_ax2_tmin_pct__median,31,17,True,
RAnkleAngles_ax2_tmax_pct__median,31,26,True,
RAnkleAngles_ax2_peak_vel__median,31,31,True,
RAnkleAngles_ax2_tpeak_vel_pct__median,31,21,True,
RAnkleAngles_ax2_vel_rms__median,31,31,True,
RAnkleAngles_ax2_peak_acc__median,31,31,True,
RAnkleAngles_ax2_acc_rms__median,31,31,True,
RAnkleAngles_ax3_min__median,31,31,True,
RAnkleAngles_ax3_max__median,31,31,True,
RAnkleAngles_ax3_mean__median,31,31,True,
RAnkleAngles_ax3_median__median,31,31,True,
RAnkleAngles_ax3_std__median,31,31,True,
RAnkleAngles_ax3_rom__median,31,31,True,
RAnkleAngles_ax3_tmin_pct__median,31,26,False,duplicated:RAnkleAngles_ax2_tmax_pct__median
RAnkleAngles_ax3_tmax_pct__median,31,17,True,
RAnkleAngles_ax3_peak_vel__median,31,31,True,
RAnkleAngles_ax3_tpeak_vel_pct__median,31,21,True,
RAnkleAngles_ax3_vel_rms__median,31,31,True,
RAnkleAngles_ax3_peak_acc__median,31,31,True,
RAnkleAngles_ax3_acc_rms__median,31,31,True,
LAbsAnkleAngle_ax1_min__median,31,31,True,
LAbsAnkleAngle_ax1_max__median,31,31,True,
LAbsAnkleAngle_ax1_mean__median,31,31,True,
LAbsAnkleAngle_ax1_median__median,31,31,True,
LAbsAnkleAngle_ax1_std__median,31,31,True,
LAbsAnkleAngle_ax1_rom__median,31,31,True,
LAbsAnkleAngle_ax1_tmin_pct__median,31,16,True,
LAbsAnkleAngle_ax1_tmax_pct__median,31,13,True,
LAbsAnkleAngle_ax1_peak_vel__median,31,31,True,
LAbsAnkleAngle_ax1_tpeak_vel_pct__median,31,14,True,
LAbsAnkleAngle_ax1_vel_rms__median,31,31,True,
LAbsAnkleAngle_ax1_peak_acc__median,31,31,True,
LAbsAnkleAngle_ax1_acc_rms__median,31,31,True,
LAbsAnkleAngle_ax2_min__median,31,1,False,constant|near_constant
LAbsAnkleAngle_ax2_max__median,31,1,False,constant|near_constant
LAbsAnkleAngle_ax2_mean__median,31,1,False,constant|near_constant
LAbsAnkleAngle_ax2_median__median,31,1,False,constant|near_constant
LAbsAnkleAngle_ax2_std__median,31,1,False,constant|near_constant
LAbsAnkleAngle_ax2_rom__median,31,1,False,constant|near_constant
LAbsAnkleAngle_ax2_tmin_pct__median,31,1,False,constant|near_constant
LAbsAnkleAngle_ax2_tmax_pct__median,31,1,False,constant|near_constant
LAbsAnkleAngle_ax2_peak_vel__median,31,1,False,constant|near_constant
LAbsAnkleAngle_ax2_tpeak_vel_pct__median,31,1,False,constant|near_constant
LAbsAnkleAngle_ax2_vel_rms__median,31,1,False,constant|near_constant
LAbsAnkleAngle_ax2_peak_acc__median,31,1,False,constant|near_constant
LAbsAnkleAngle_ax2_acc_rms__median,31,1,False,constant|near_constant
LAbsAnkleAngle_ax3_min__median,31,1,False,constant|near_constant
LAbsAnkleAngle_ax3_max__median,31,1,False,constant|near_constant
LAbsAnkleAngle_ax3_mean__median,31,1,False,constant|near_constant
LAbsAnkleAngle_ax3_median__median,31,1,False,constant|near_constant
LAbsAnkleAngle_ax3_std__median,31,1,False,constant|near_constant
LAbsAnkleAngle_ax3_rom__median,31,1,False,constant|near_constant
LAbsAnkleAngle_ax3_tmin_pct__median,31,1,False,constant|near_constant
LAbsAnkleAngle_ax3_tmax_pct__median,31,1,False,constant|near_constant
LAbsAnkleAngle_ax3_peak_vel__median,31,1,False,constant|near_constant
LAbsAnkleAngle_ax3_tpeak_vel_pct__median,31,1,False,constant|near_constant
LAbsAnkleAngle_ax3_vel_rms__median,31,1,False,constant|near_constant
LAbsAnkleAngle_ax3_peak_acc__median,31,1,False,constant|near_constant
LAbsAnkleAngle_ax3_acc_rms__median,31,1,False,constant|near_constant
RAbsAnkleAngle_ax1_min__median,31,31,True,
RAbsAnkleAngle_ax1_max__median,31,31,True,
RAbsAnkleAngle_ax1_mean__median,31,31,True,
RAbsAnkleAngle_ax1_median__median,31,31,True,
RAbsAnkleAngle_ax1_std__median,31,31,True,
RAbsAnkleAngle_ax1_rom__median,31,31,True,
RAbsAnkleAngle_ax1_tmin_pct__median,31,16,True,
RAbsAnkleAngle_ax1_tmax_pct__median,31,11,True,
RAbsAnkleAngle_ax1_peak_vel__median,31,31,True,
RAbsAnkleAngle_ax1_tpeak_vel_pct__median,31,17,True,
RAbsAnkleAngle_ax1_vel_rms__median,31,31,True,
RAbsAnkleAngle_ax1_peak_acc__median,31,31,True,
RAbsAnkleAngle_ax1_acc_rms__median,31,31,True,
RAbsAnkleAngle_ax2_min__median,31,1,False,constant|near_constant
RAbsAnkleAngle_ax2_max__median,31,1,False,constant|near_constant
RAbsAnkleAngle_ax2_mean__median,31,1,False,constant|near_constant
RAbsAnkleAngle_ax2_median__median,31,1,False,constant|near_constant
RAbsAnkleAngle_ax2_std__median,31,1,False,constant|near_constant
RAbsAnkleAngle_ax2_rom__median,31,1,False,constant|near_constant
RAbsAnkleAngle_ax2_tmin_pct__median,31,1,False,constant|near_constant
RAbsAnkleAngle_ax2_tmax_pct__median,31,1,False,constant|near_constant
RAbsAnkleAngle_ax2_peak_vel__median,31,1,False,constant|near_constant
RAbsAnkleAngle_ax2_tpeak_vel_pct__median,31,1,False,constant|near_constant
RAbsAnkleAngle_ax2_vel_rms__median,31,1,False,constant|near_constant
RAbsAnkleAngle_ax2_peak_acc__median,31,1,False,constant|near_constant
RAbsAnkleAngle_ax2_acc_rms__median,31,1,False,constant|near_constant
RAbsAnkleAngle_ax3_min__median,31,1,False,constant|near_constant
RAbsAnkleAngle_ax3_max__median,31,1,False,constant|near_constant
RAbsAnkleAngle_ax3_mean__median,31,1,False,constant|near_constant
RAbsAnkleAngle_ax3_median__median,31,1,False,constant|near_constant
RAbsAnkleAngle_ax3_std__median,31,1,False,constant|near_constant
RAbsAnkleAngle_ax3_rom__median,31,1,False,constant|near_constant
RAbsAnkleAngle_ax3_tmin_pct__median,31,1,False,constant|near_constant
RAbsAnkleAngle_ax3_tmax_pct__median,31,1,False,constant|near_constant
RAbsAnkleAngle_ax3_peak_vel__median,31,1,False,constant|near_constant
RAbsAnkleAngle_ax3_tpeak_vel_pct__median,31,1,False,constant|near_constant
RAbsAnkleAngle_ax3_vel_rms__median,31,1,False,constant|near_constant
RAbsAnkleAngle_ax3_peak_acc__median,31,1,False,constant|near_constant
RAbsAnkleAngle_ax3_acc_rms__median,31,1,False,constant|near_constant
LFootProgressAngles_ax1_min__median,31,31,True,
LFootProgressAngles_ax1_max__median,31,31,True,
LFootProgressAngles_ax1_mean__median,31,31,True,
LFootProgressAngles_ax1_median__median,31,31,True,
LFootProgressAngles_ax1_std__median,31,31,True,
LFootProgressAngles_ax1_rom__median,31,31,True,
LFootProgressAngles_ax1_tmin_pct__median,31,6,True,
LFootProgressAngles_ax1_tmax_pct__median,31,18,True,
LFootProgressAngles_ax1_peak_vel__median,31,31,True,
LFootProgressAngles_ax1_tpeak_vel_pct__median,31,16,True,
LFootProgressAngles_ax1_vel_rms__median,31,31,True,
LFootProgressAngles_ax1_peak_acc__median,31,31,True,
LFootProgressAngles_ax1_acc_rms__median,31,31,True,
LFootProgressAngles_ax2_min__median,31,31,True,
LFootProgressAngles_ax2_max__median,31,31,True,
LFootProgressAngles_ax2_mean__median,31,31,True,
LFootProgressAngles_ax2_median__median,31,31,True,
LFootProgressAngles_ax2_std__median,31,31,True,
LFootProgressAngles_ax2_rom__median,31,31,True,
LFootProgressAngles_ax2_tmin_pct__median,31,16,True,
LFootProgressAngles_ax2_tmax_pct__median,31,20,True,
LFootProgressAngles_ax2_peak_vel__median,31,31,True,
LFootProgressAngles_ax2_tpeak_vel_pct__median,31,21,True,
LFootProgressAngles_ax2_vel_rms__median,31,31,True,
LFootProgressAngles_ax2_peak_acc__median,31,31,True,
LFootProgressAngles_ax2_acc_rms__median,31,31,True,
LFootProgressAngles_ax3_min__median,31,31,True,
LFootProgressAngles_ax3_max__median,31,31,True,
LFootProgressAngles_ax3_mean__median,31,31,True,
LFootProgressAngles_ax3_median__median,31,31,True,
LFootProgressAngles_ax3_std__median,31,31,True,
LFootProgressAngles_ax3_rom__median,31,31,True,
LFootProgressAngles_ax3_tmin_pct__median,31,24,True,
LFootProgressAngles_ax3_tmax_pct__median,31,20,True,
LFootProgressAngles_ax3_peak_vel__median,31,31,True,
LFootProgressAngles_ax3_tpeak_vel_pct__median,31,24,True,
LFootProgressAngles_ax3_vel_rms__median,31,31,True,
LFootProgressAngles_ax3_peak_acc__median,31,31,True,
LFootProgressAngles_ax3_acc_rms__median,31,31,True,
RFootProgressAngles_ax1_min__median,31,31,True,
RFootProgressAngles_ax1_max__median,31,31,True,
RFootProgressAngles_ax1_mean__median,31,31,True,
RFootProgressAngles_ax1_median__median,31,31,True,
