cluster_id,representative,n_members,members,max_abs_spearman
1,RHipAngles_ax1_median__median,20,RHipAngles_ax1_median__median|RHipAngles_ax1_mean__median|RHipAngles_ax1_min__median|RHipAngles_ax1_max__median|LHipAngles_ax1_mean__median|LHipAngles_ax1_max__median|LHipAngles_ax1_min__median|LHipAngles_ax1_median__median|RHipAngles_ax1_phase_70_80_mean__median|RHipAngles_ax1_phase_70_80_max__median|RHipAngles_ax1_phase_20_30_max__median|RHipAngles_ax1_phase_20_30_mean__median|RHipAngles_ax1_phase_70_80_min__median|RHipAngles_ax1_phase_20_30_min__median|LHipAngles_ax1_phase_70_80_mean__median|LHipAngles_ax1_phase_70_80_min__median|LHipAngles_ax1_phase_70_80_max__median|LHipAngles_ax1_phase_20_30_min__median|LHipAngles_ax1_phase_20_30_mean__median|LHipAngles_ax1_phase_20_30_max__median,0.9959677419354839
2,LHipAngles_ax1_rom__median,2,LHipAngles_ax1_rom__median|LHipAngles_ax1_std__median,0.9391129032258064
3,LHipAngles_ax1_tmin_pct__median,1,LHipAngles_ax1_tmin_pct__median,0.0
4,LHipAngles_ax1_tmax_pct__median,1,LHipAngles_ax1_tmax_pct__median,0.0
5,LHipAngles_ax1_peak_vel__median,1,LHipAngles_ax1_peak_vel__median,0.0
6,RKneeAngles_ax1_phase_90_100_rom__median,117,RKneeAngles_ax1_phase_90_100_rom__median|LKneeAngles_ax1_phase_40_50_rom__median|LKneeAngles_ax1_phase_10_20_rom__median|RKneeAngles_ax1_phase_60_70_rom__median|RKneeAngles_ax1_phase_10_20_rom__median|LKneeAngles_ax1_phase_90_100_rom__median|RKneeAngles_ax1_phase_40_50_rom__median|RKneeAngles_ax1_phase_80_90_rom__median|LAnkleAngles_ax1_phase_20_30_rom__median|LHipAngles_ax1_phase_60_70_rom__median|LHipAngles_ax1_phase_20_30_rom__median|RHipAngles_ax1_phase_10_20_rom__median|RKneeAngles_ax1_tmax_pct__median|RAbsAnkleAngle_ax1_tmin_pct__median|RFootProgressAngles_ax1_tmax_pct__median|LKneeAngles_ax1_tmax_pct__median|RAnkleAngles_ax1_tpeak_vel_pct__median|LFootProgressAngles_ax1_tpeak_vel_pct__median|RAnkleAngles_ax1_tmin_pct__median|LHipAngles_ax2_tmax_pct__median|LAbsAnkleAngle_ax1_tmin_pct__median|LAnkleAngles_ax1_tpeak_vel_pct__median|LAbsAnkleAngle_ax1_tpeak_vel_pct__median|RAbsAnkleAngle_ax1_tpeak_vel_pct__median|LFootProgressAngles_ax1_tmax_pct__median|RHipAngles_ax2_tmin_pct__median|RHipAngles_ax2_tmax_pct__median|LHipAngles_ax1_tpeak_vel_pct__median|LAnkleAngles_ax1_tmin_pct__median|LKneeAngles_ax1_tpeak_vel_pct__median|RHipAngles_ax1_tpeak_vel_pct__median|RFootProgressAngles_ax1_tpeak_vel_pct__median|RKneeAngles_ax1_phase_30_40_max__median|RKneeAngles_ax1_phase_20_30_mean__median|RKneeAngles_ax1_phase_20_30_max__median|RKneeAngles_ax1_phase_80_90_max__median|LKneeAngles_ax1_phase_80_90_max__median|LKneeAngles_ax1_phase_70_80_mean__median|LKneeAngles_ax1_phase_30_40_max__median|RKneeAngles_ax1_phase_20_30_min__median|LKneeAngles_ax1_phase_70_80_max__median|RKneeAngles_ax1_phase_70_80_max__median|RKneeAngles_ax1_phase_70_80_mean__median|LKneeAngles_ax1_phase_20_30_max__median|LKneeAngles_ax1_phase_20_30_mean__median|LKneeAngles_ax1_phase_70_80_min__median|LHipAngles_ax1_phase_90_100_min__median|LKneeAngles_ax1_phase_20_30_min__median|RHipAngles_ax1_phase_0_10_mean__median|RHipAngles_ax1_phase_0_10_max__median|LHipAngles_ax1_phase_0_10_mean__median|LHipAngles_ax1_phase_0_10_min__median|RHipAngles_ax1_phase_0_10_min__median|RKneeAngles_ax1_phase_30_40_mean__median|LKneeAngles_ax1_phase_30_40_mean__median|LHipAngles_ax1_phase_0_10_max__median|LHipAngles_ax1_phase_90_100_mean__median|LHipAngles_ax1_phase_50_60_min__median|RKneeAngles_ax1_phase_70_80_min__median|LHipAngles_ax1_phase_50_60_mean__median|RHipAngles_ax1_phase_50_60_mean__median|RKneeAngles_ax1_phase_80_90_mean__median|LHipAngles_ax1_phase_50_60_max__median|RHipAngles_ax1_phase_50_60_min__median|RHipAngles_ax1_phase_50_60_max__median|RHipAngles_ax1_phase_90_100_min__median|LHipAngles_ax1_phase_40_50_min__median|LKneeAngles_ax1_phase_80_90_mean__median|RHipAngles_ax1_phase_40_50_min__median|RKneeAngles_ax1_phase_10_20_max__median|RHipAngles_ax1_phase_90_100_mean__median|LHipAngles_ax1_phase_90_100_max__median|RHipAngles_ax1_phase_40_50_mean__median|LHipAngles_ax1_phase_40_50_mean__median|RHipAngles_ax1_phase_90_100_max__median|LHipAngles_ax1_phase_10_20_min__median|LKneeAngles_ax1_phase_60_70_max__median|RHipAngles_ax1_phase_10_20_min__median|RHipAngles_ax1_phase_40_50_max__median|LHipAngles_ax1_phase_10_20_mean__median|LHipAngles_ax1_phase_60_70_min__median|LKneeAngles_ax1_phase_10_20_max__median|LHipAngles_ax1_phase_40_50_max__median|RKneeAngles_ax1_phase_60_70_max__median|LHipAngles_ax1_phase_60_70_mean__median|RHipAngles_ax1_phase_60_70_min__median|RHipAngles_ax1_phase_10_20_mean__median|RHipAngles_ax1_phase_80_90_min__median|RHipAngles_ax1_phase_60_70_mean__median|RHipAngles_ax1_phase_80_90_mean__median|RHipAngles_ax1_phase_30_40_min__median|LHipAngles_ax1_phase_80_90_min__median|LHipAngles_ax1_phase_10_20_max__median|LKneeAngles_ax1_phase_30_40_min__median|RKneeAngles_ax1_phase_80_90_min__median|RHipAngles_ax1_phase_30_40_mean__median|RHipAngles_ax1_phase_10_20_max__median|RHipAngles_ax1_phase_80_90_max__median|RHipAngles_ax1_phase_60_70_max__median|LHipAngles_ax1_phase_60_70_max__median|LHipAngles_ax1_phase_30_40_min__median|LHipAngles_ax1_phase_80_90_mean__median|RKneeAngles_ax1_phase_30_40_min__median|LHipAngles_ax1_phase_30_40_mean__median|RHipAngles_ax1_phase_30_40_max__median|LHipAngles_ax1_phase_30_40_max__median|RKneeAngles_ax1_phase_10_20_mean__median|LKneeAngles_ax1_phase_80_90_min__median|LHipAngles_ax1_phase_80_90_max__median|LKneeAngles_ax1_phase_40_50_max__median|RKneeAngles_ax1_phase_90_100_max__median|LKneeAngles_ax1_phase_60_70_mean__median|LKneeAngles_ax1_phase_90_100_max__median|LAnkleAngles_ax1_phase_20_30_min__median|RKneeAngles_ax1_phase_60_70_mean__median|RKneeAngles_ax1_phase_40_50_max__median|LAnkleAngles_ax1_phase_20_30_mean__median,0.9991935483870967
7,LHipAngles_ax1_vel_rms__median,1,LHipAngles_ax1_vel_rms__median,0.0
8,RHipAngles_ax1_peak_acc__median,2,RHipAngles_ax1_peak_acc__median|LHipAngles_ax1_peak_acc__median,0.9455645161290323
9,RKneeAngles_ax1_peak_acc__median,6,RKneeAngles_ax1_peak_acc__median|RKneeAngles_ax1_acc_rms__median|RHipAngles_ax1_acc_rms__median|LHipAngles_ax1_acc_rms__median|RKneeAngles_ax1_peak_vel__median|RKneeAngles_ax1_vel_rms__median,0.9657258064516129
10,LHipAngles_ax2_min__median,1,LHipAngles_ax2_min__median,0.0
11,LHipAngles_ax2_max__median,3,LHipAngles_ax2_max__median|LHipAngles_ax2_median__median|LHipAngles_ax2_mean__median,0.9875
12,LHipAngles_ax2_std__median,1,LHipAngles_ax2_std__median,0.0
13,LHipAngles_ax2_rom__median,1,LHipAngles_ax2_rom__median,0.0
14,LHipAngles_ax2_tmin_pct__median,1,LHipAngles_ax2_tmin_pct__median,0.0
15,LHipAngles_ax2_peak_vel__median,1,LHipAngles_ax2_peak_vel__median,0.0
16,LHipAngles_ax2_tpeak_vel_pct__median,1,LHipAngles_ax2_tpeak_vel_pct__median,0.0
17,LHipAngles_ax2_vel_rms__median,2,LHipAngles_ax2_vel_rms__median|RHipAngles_ax2_vel_rms__median,0.9560483870967742
18,LHipAngles_ax2_peak_acc__median,4,LHipAngles_ax2_peak_acc__median|RHipAngles_ax2_peak_acc__median|LHipAngles_ax2_acc_rms__median|RHipAngles_ax2_acc_rms__median,0.9290322580645162
19,LHipAngles_ax3_mean__median,8,LHipAngles_ax3_mean__median|LHipAngles_ax3_median__median|LHipAngles_ax3_max__median|LHipAngles_ax3_min__median|LKneeAngles_ax2_min__median|LKneeAngles_ax2_max__median|LKneeAngles_ax2_mean__median|LKneeAngles_ax2_median__median,0.9959677419354839
20,LHipAngles_ax3_rom__median,2,LHipAngles_ax3_rom__median|LHipAngles_ax3_std__median,0.9532258064516129
21,LHipAngles_ax3_tmin_pct__median,1,LHipAngles_ax3_tmin_pct__median,0.0
22,LHipAngles_ax3_tmax_pct__median,1,LHipAngles_ax3_tmax_pct__median,0.0
23,LHipAngles_ax3_peak_acc__median,4,LHipAngles_ax3_peak_acc__median|LHipAngles_ax3_acc_rms__median|LHipAngles_ax3_peak_vel__median|LHipAngles_ax3_vel_rms__median,0.9846774193548387
24,LHipAngles_ax3_tpeak_vel_pct__median,1,LHipAngles_ax3_tpeak_vel_pct__median,0.0
25,RHipAngles_ax1_rom__median,2,RHipAngles_ax1_rom__median|RHipAngles_ax1_std__median,0.959274193548387
26,RHipAngles_ax1_tmin_pct__median,1,RHipAngles_ax1_tmin_pct__median,0.0
27,RHipAngles_ax1_tmax_pct__median,1,RHipAngles_ax1_tmax_pct__median,0.0
28,RHipAngles_ax1_peak_vel__median,1,RHipAngles_ax1_peak_vel__median,0.0
29,RHipAngles_ax1_vel_rms__median,1,RHipAngles_ax1_vel_rms__median,0.0
30,RHipAngles_ax2_min__median,1,RHipAngles_ax2_min__median,0.0
31,RHipAngles_ax2_max__median,1,RHipAngles_ax2_max__median,0.0
32,RHipAngles_ax2_mean__median,2,RHipAngles_ax2_mean__median|RHipAngles_ax2_median__median,0.9814516129032258
33,RHipAngles_ax2_rom__median,2,RHipAngles_ax2_rom__median|RHipAngles_ax2_std__median,0.9024193548387097
34,RHipAngles_ax2_peak_vel__median,1,RHipAngles_ax2_peak_vel__median,0.0
35,RHipAngles_ax2_tpeak_vel_pct__median,1,RHipAngles_ax2_tpeak_vel_pct__median,0.0
36,RHipAngles_ax3_min__median,8,RHipAngles_ax3_min__median|RHipAngles_ax3_max__median|RHipAngles_ax3_mean__median|RKneeAngles_ax2_min__median|RHipAngles_ax3_median__median|RKneeAngles_ax2_max__median|RKneeAngles_ax2_mean__median|RKneeAngles_ax2_median__median,0.9911290322580645
37,RHipAngles_ax3_rom__median,2,RHipAngles_ax3_rom__median|RHipAngles_ax3_std__median,0.942741935483871
38,RHipAngles_ax3_tmin_pct__median,1,RHipAngles_ax3_tmin_pct__median,0.0
39,RHipAngles_ax3_tmax_pct__median,1,RHipAngles_ax3_tmax_pct__median,0.0
40,RHipAngles_ax3_peak_acc__median,4,RHipAngles_ax3_peak_acc__median|RHipAngles_ax3_acc_rms__median|RHipAngles_ax3_peak_vel__median|RHipAngles_ax3_vel_rms__median,0.9721774193548387
41,RHipAngles_ax3_tpeak_vel_pct__median,1,RHipAngles_ax3_tpeak_vel_pct__median,0.0
42,LKneeAngles_ax1_median__median,14,LKneeAngles_ax1_median__median|LKneeAngles_ax1_min__median|LKneeAngles_ax1_mean__median|LKneeAngles_ax1_phase_90_100_mean__median|LKneeAngles_ax1_phase_50_60_mean__median|LKneeAngles_ax1_phase_10_20_min__median|LKneeAngles_ax1_phase_0_10_min__median|LKneeAngles_ax1_phase_0_10_max__median|LKneeAngles_ax1_phase_0_10_mean__median|LKneeAngles_ax1_phase_90_100_min__median|LKneeAngles_ax1_phase_50_60_min__median|LKneeAngles_ax1_phase_40_50_min__median|LKneeAngles_ax1_phase_60_70_min__median|LKneeAngles_ax1_phase_50_60_max__median,0.9818548387096774
43,LKneeAngles_ax1_max__median,1,LKneeAngles_ax1_max__median,0.0
44,LKneeAngles_ax1_std__median,1,LKneeAngles_ax1_std__median,0.0
45,LKneeAngles_ax1_rom__median,1,LKneeAngles_ax1_rom__median,0.0
46,LKneeAngles_ax1_tmin_pct__median,1,LKneeAngles_ax1_tmin_pct__median,0.0
47,LKneeAngles_ax1_peak_vel__median,1,LKneeAngles_ax1_peak_vel__median,0.0
48,LKneeAngles_ax1_vel_rms__median,1,LKneeAngles_ax1_vel_rms__median,0.0
49,LKneeAngles_ax1_peak_acc__median,1,LKneeAngles_ax1_peak_acc__median,0.0
50,LKneeAngles_ax1_acc_rms__median,1,LKneeAngles_ax1_acc_rms__median,0.0
51,LKneeAngles_ax2_rom__median,4,LKneeAngles_ax2_rom__median|LKneeAngles_ax2_peak_vel__median|LKneeAngles_ax2_vel_rms__median|LKneeAngles_ax2_std__median,0.9552419354838709
52,LKneeAngles_ax2_tmin_pct__median,1,LKneeAngles_ax2_tmin_pct__median,0.0
53,LKneeAngles_ax2_tmax_pct__median,1,LKneeAngles_ax2_tmax_pct__median,0.0
54,LKneeAngles_ax2_tpeak_vel_pct__median,1,LKneeAngles_ax2_tpeak_vel_pct__median,0.0
55,LKneeAngles_ax2_peak_acc__median,2,LKneeAngles_ax2_peak_acc__median|LKneeAngles_ax2_acc_rms__median,0.9661290322580646
56,LKneeAngles_ax3_max__median,4,LKneeAngles_ax3_max__median|LKneeAngles_ax3_mean__median|LKneeAngles_ax3_min__median|LKneeAngles_ax3_median__median,0.9806451612903225
57,LKneeAngles_ax3_rom__median,2,LKneeAngles_ax3_rom__median|LKneeAngles_ax3_std__median,0.9112903225806451
58,LKneeAngles_ax3_tmin_pct__median,1,LKneeAngles_ax3_tmin_pct__median,0.0
59,LKneeAngles_ax3_tmax_pct__median,1,LKneeAngles_ax3_tmax_pct__median,0.0
60,LKneeAngles_ax3_peak_vel__median,2,LKneeAngles_ax3_peak_vel__median|LKneeAngles_ax3_vel_rms__median,0.9471774193548387
61,LKneeAngles_ax3_tpeak_vel_pct__median,1,LKneeAngles_ax3_tpeak_vel_pct__median,0.0
62,LKneeAngles_ax3_peak_acc__median,2,LKneeAngles_ax3_peak_acc__median|LKneeAngles_ax3_acc_rms__median,0.964516129032258
63,RKneeAngles_ax1_min__median,1,RKneeAngles_ax1_min__median,0.0
64,RKneeAngles_ax1_max__median,1,RKneeAngles_ax1_max__median,0.0
65,RKneeAngles_ax1_median__median,2,RKneeAngles_ax1_median__median|RKneeAngles_ax1_mean__median,0.9467741935483871
66,RKneeAngles_ax1_std__median,1,RKneeAngles_ax1_std__median,0.0
67,RKneeAngles_ax1_rom__median,1,RKneeAngles_ax1_rom__median,0.0
68,RKneeAngles_ax1_tmin_pct__median,1,RKneeAngles_ax1_tmin_pct__median,0.0
69,RKneeAngles_ax1_tpeak_vel_pct__median,1,RKneeAngles_ax1_tpeak_vel_pct__median,0.0
70,RKneeAngles_ax2_rom__median,2,RKneeAngles_ax2_rom__median|RKneeAngles_ax2_std__median,0.9786290322580645
71,RKneeAngles_ax2_tmin_pct__median,1,RKneeAngles_ax2_tmin_pct__median,0.0
72,RKneeAngles_ax2_tmax_pct__median,1,RKneeAngles_ax2_tmax_pct__median,0.0
73,RKneeAngles_ax2_peak_vel__median,2,RKneeAngles_ax2_peak_vel__median|RKneeAngles_ax2_vel_rms__median,0.932258064516129
74,RKneeAngles_ax2_tpeak_vel_pct__median,1,RKneeAngles_ax2_tpeak_vel_pct__median,0.0
75,RKneeAngles_ax2_peak_acc__median,2,RKneeAngles_ax2_peak_acc__median|RKneeAngles_ax2_acc_rms__median,0.975
76,RKneeAngles_ax3_max__median,4,RKneeAngles_ax3_max__median|RKneeAngles_ax3_mean__median|RKneeAngles_ax3_median__median|RKneeAngles_ax3_min__median,0.9935483870967742
77,RKneeAngles_ax3_std__median,1,RKneeAngles_ax3_std__median,0.0
78,RKneeAngles_ax3_rom__median,1,RKneeAngles_ax3_rom__median,0.0
79,RKneeAngles_ax3_tmin_pct__median,1,RKneeAngles_ax3_tmin_pct__median,0.0
80,RKneeAngles_ax3_tmax_pct__median,1,RKneeAngles_ax3_tmax_pct__median,0.0
81,RKneeAngles_ax3_peak_vel__median,2,RKneeAngles_ax3_peak_vel__median|RKneeAngles_ax3_vel_rms__median,0.9379032258064516
82,RKneeAngles_ax3_tpeak_vel_pct__median,1,RKneeAngles_ax3_tpeak_vel_pct__median,0.0
83,RKneeAngles_ax3_peak_acc__median,2,RKneeAngles_ax3_peak_acc__median|RKneeAngles_ax3_acc_rms__median,0.9620967741935483
84,LAnkleAngles_ax1_min__median,2,LAnkleAngles_ax1_min__median|LAbsAnkleAngle_ax1_min__median,0.969758064516129
85,LAnkleAngles_ax1_max__median,2,LAnkleAngles_ax1_max__median|LAbsAnkleAngle_ax1_max__median,0.9334677419354839
86,LAbsAnkleAngle_ax1_mean__median,4,LAbsAnkleAngle_ax1_mean__median|LAnkleAngles_ax1_median__median|LAnkleAngles_ax1_mean__median|LAbsAnkleAngle_ax1_median__median,0.9887096774193549
87,LAnkleAngles_ax1_rom__median,4,LAnkleAngles_ax1_rom__median|LAbsAnkleAngle_ax1_rom__median|LAnkleAngles_ax1_std__median|LAbsAnkleAngle_ax1_std__median,0.9669354838709677
88,LAnkleAngles_ax1_tmax_pct__median,2,LAnkleAngles_ax1_tmax_pct__median|LAbsAnkleAngle_ax1_tmax_pct__median,0.9541201938777393
89,LAnkleAngles_ax1_peak_vel__median,4,LAnkleAngles_ax1_peak_vel__median|LAbsAnkleAngle_ax1_peak_vel__median|LAnkleAngles_ax1_vel_rms__median|LAbsAnkleAngle_ax1_vel_rms__median,0.9508064516129032
90,LAnkleAngles_ax1_peak_acc__median,7,LAnkleAngles_ax1_peak_acc__median|LAbsAnkleAngle_ax1_peak_acc__median|LFootProgressAngles_ax1_peak_acc__median|LAnkleAngles_ax1_acc_rms__median|LAbsAnkleAngle_ax1_acc_rms__median|LFootProgressAngles_ax1_acc_rms__median|LFootProgressAngles_ax1_vel_rms__median,0.9415322580645161
91,LAnkleAngles_ax3_min__median,8,LAnkleAngles_ax3_min__median|LAnkleAngles_ax3_max__median|LAnkleAngles_ax3_mean__median|LAnkleAngles_ax3_median__median|LAnkleAngles_ax2_min__median|LAnkleAngles_ax2_mean__median|LAnkleAngles_ax2_median__median|LAnkleAngles_ax2_max__median,0.9959677419354839
92,LAnkleAngles_ax2_rom__median,6,LAnkleAngles_ax2_rom__median|LAnkleAngles_ax2_peak_acc__median|LAnkleAngles_ax2_acc_rms__median|LAnkleAngles_ax2_peak_vel__median|LAnkleAngles_ax2_vel_rms__median|LAnkleAngles_ax2_std__median,0.9745967741935484
93,LAnkleAngles_ax2_tmin_pct__median,1,LAnkleAngles_ax2_tmin_pct__median,0.0
94,LAnkleAngles_ax2_tmax_pct__median,1,LAnkleAngles_ax2_tmax_pct__median,0.0
95,LAnkleAngles_ax2_tpeak_vel_pct__median,1,LAnkleAngles_ax2_tpeak_vel_pct__median,0.0
96,LAnkleAngles_ax3_rom__median,2,LAnkleAngles_ax3_rom__median|LAnkleAngles_ax3_std__median,0.9326612903225806
97,LAnkleAngles_ax3_peak_vel__median,2,LAnkleAngles_ax3_peak_vel__median|LAnkleAngles_ax3_vel_rms__median,0.9467741935483871
98,LAnkleAngles_ax3_tpeak_vel_pct__median,1,LAnkleAngles_ax3_tpeak_vel_pct__median,0.0
99,LAnkleAngles_ax3_peak_acc__median,2,LAnkleAngles_ax3_peak_acc__median|LAnkleAngles_ax3_acc_rms__median,0.9528225806451613
100,RAnkleAngles_ax1_min__median,2,RAnkleAngles_ax1_min__median|RAbsAnkleAngle_ax1_min__median,0.9870967741935484
101,RAnkleAngles_ax1_max__median,2,RAnkleAngles_ax1_max__median|RAbsAnkleAngle_ax1_max__median,0.9620967741935483
102,RAnkleAngles_ax1_mean__median,2,RAnkleAngles_ax1_mean__median|RAbsAnkleAngle_ax1_mean__median,0.9814516129032258
103,RAnkleAngles_ax1_median__median,2,RAnkleAngles_ax1_median__median|RAbsAnkleAngle_ax1_median__median,0.9923387096774193
104,RAnkleAngles_ax1_rom__median,6,RAnkleAngles_ax1_rom__median|RAbsAnkleAngle_ax1_rom__median|RAnkleAngles_ax1_vel_rms__median|RAbsAnkleAngle_ax1_vel_rms__median|RAnkleAngles_ax1_std__median|RAbsAnkleAngle_ax1_std__median,0.9745967741935484
105,RAbsAnkleAngle_ax1_tmax_pct__median,2,RAbsAnkleAngle_ax1_tmax_pct__median|RAnkleAngles_ax1_tmax_pct__median,0.9281208468595213
106,RAnkleAngles_ax1_peak_vel__median,3,RAnkleAngles_ax1_peak_vel__median|RAbsAnkleAngle_ax1_peak_vel__median|RFootProgressAngles_ax1_peak_vel__median,0.9637096774193549
107,RAbsAnkleAngle_ax1_peak_acc__median,5,RAbsAnkleAngle_ax1_peak_acc__median|RFootProgressAngles_ax1_peak_acc__median|RAnkleAngles_ax1_peak_acc__median|RAnkleAngles_ax1_acc_rms__median|RAbsAnkleAngle_ax1_acc_rms__median,0.9600806451612903
108,RAnkleAngles_ax3_max__median,8,RAnkleAngles_ax3_max__median|RAnkleAngles_ax3_mean__median|RAnkleAngles_ax3_min__median|RAnkleAngles_ax3_median__median|RAnkleAngles_ax2_min__median|RAnkleAngles_ax2_max__median|RAnkleAngles_ax2_mean__median|RAnkleAngles_ax2_median__median,0.9854838709677419
109,RAnkleAngles_ax2_rom__median,4,RAnkleAngles_ax2_rom__median|RAnkleAngles_ax2_peak_vel__median|RAnkleAngles_ax2_vel_rms__median|RAnkleAngles_ax2_std__median,0.975
110,RAnkleAngles_ax2_tmin_pct__median,2,RAnkleAngles_ax2_tmin_pct__median|RAnkleAngles_ax3_tmax_pct__median,0.9970501939157271
111,RAnkleAngles_ax2_tmax_pct__median,1,RAnkleAngles_ax2_tmax_pct__median,0.0
112,RAnkleAngles_ax3_tpeak_vel_pct__median,2,RAnkleAngles_ax3_tpeak_vel_pct__median|RAnkleAngles_ax2_tpeak_vel_pct__median,0.9106727784087322
