cluster_id,representative,n_members,members,max_abs_spearman
165,cycle_duration_s__median,3,cycle_duration_s__median|stance_duration_s__median|swing_duration_s__median,0.9550815661218125
166,opposite_foot_off_pct__median,3,opposite_foot_off_pct__median|swing_pct__median|stance_pct__median,1.0
167,mid_stance_pct__median,1,mid_stance_pct__median,0.0
168,LASI_path3d__median,31,LASI_path3d__median|LKJC_ax1_excursion__median|LPSI_path3d__median|CentreOfMass_path3d__median|LHJC_path3d__median|LASI_ax1_excursion__median|LKJC_path3d__median|RTOE_path3d__median|LHJC_ax1_excursion__median|RAJC_ax1_excursion__median|RHJC_path3d__median|LAJC_ax1_excursion__median|RPSI_path3d__median|LPSI_ax1_excursion__median|CentreOfMassFloor_path3d__median|RKJC_ax1_excursion__median|CentreOfMass_ax1_excursion__median|RTOE_ax1_excursion__median|RHEE_ax1_excursion__median|LTOE_ax1_excursion__median|LHEE_ax1_excursion__median|RASI_path3d__median|LAJC_path3d__median|RPSI_ax1_excursion__median|RHJC_ax1_excursion__median|RASI_ax1_excursion__median|RAJC_path3d__median|LTOE_path3d__median|RKJC_path3d__median|RHEE_path3d__median|LHEE_path3d__median,0.9995967741935484
169,LASI_ax2_excursion__median,4,LASI_ax2_excursion__median|RASI_ax2_excursion__median|LHJC_ax2_excursion__median|RHJC_ax2_excursion__median,0.9907258064516129
170,LASI_ax3_excursion__median,6,LASI_ax3_excursion__median|RASI_ax3_excursion__median|RHJC_ax3_excursion__median|RPSI_ax3_excursion__median|LHJC_ax3_excursion__median|CentreOfMass_ax3_excursion__median,0.9701612903225807
171,RPSI_ax2_excursion__median,2,RPSI_ax2_excursion__median|LPSI_ax2_excursion__median,0.9883064516129032
172,LPSI_ax3_excursion__median,1,LPSI_ax3_excursion__median,0.0
173,LKJC_ax2_excursion__median,1,LKJC_ax2_excursion__median,0.0
174,LKJC_ax3_excursion__median,1,LKJC_ax3_excursion__median,0.0
175,RKJC_ax2_excursion__median,1,RKJC_ax2_excursion__median,0.0
176,RKJC_ax3_excursion__median,1,RKJC_ax3_excursion__median,0.0
177,LAJC_ax2_excursion__median,1,LAJC_ax2_excursion__median,0.0
178,LAJC_ax3_excursion__median,1,LAJC_ax3_excursion__median,0.0
179,RAJC_ax2_excursion__median,1,RAJC_ax2_excursion__median,0.0
180,RAJC_ax3_excursion__median,1,RAJC_ax3_excursion__median,0.0
181,LHEE_ax2_excursion__median,1,LHEE_ax2_excursion__median,0.0
182,RHEE_ax3_excursion__median,2,RHEE_ax3_excursion__median|LHEE_ax3_excursion__median,0.9439516129032258
183,RHEE_ax2_excursion__median,1,RHEE_ax2_excursion__median,0.0
184,LTOE_ax2_excursion__median,1,LTOE_ax2_excursion__median,0.0
185,LTOE_ax3_excursion__median,1,LTOE_ax3_excursion__median,0.0
186,RTOE_ax2_excursion__median,1,RTOE_ax2_excursion__median,0.0
187,RTOE_ax3_excursion__median,1,RTOE_ax3_excursion__median,0.0
188,CentreOfMass_ax2_excursion__median,1,CentreOfMass_ax2_excursion__median,0.0
189,LHipAngles_ax1_phase_0_10_rom__median,1,LHipAngles_ax1_phase_0_10_rom__median,0.0
190,LHipAngles_ax1_phase_10_20_rom__median,1,LHipAngles_ax1_phase_10_20_rom__median,0.0
191,LHipAngles_ax1_phase_30_40_rom__median,1,LHipAngles_ax1_phase_30_40_rom__median,0.0
192,LHipAngles_ax1_phase_40_50_rom__median,1,LHipAngles_ax1_phase_40_50_rom__median,0.0
193,LHipAngles_ax1_phase_50_60_rom__median,1,LHipAngles_ax1_phase_50_60_rom__median,0.0
194,LHipAngles_ax1_phase_70_80_rom__median,1,LHipAngles_ax1_phase_70_80_rom__median,0.0
195,LHipAngles_ax1_phase_80_90_rom__median,1,LHipAngles_ax1_phase_80_90_rom__median,0.0
196,LHipAngles_ax1_phase_90_100_rom__median,1,LHipAngles_ax1_phase_90_100_rom__median,0.0
197,RHipAngles_ax1_phase_0_10_rom__median,1,RHipAngles_ax1_phase_0_10_rom__median,0.0
198,RHipAngles_ax1_phase_20_30_rom__median,1,RHipAngles_ax1_phase_20_30_rom__median,0.0
199,RHipAngles_ax1_phase_30_40_rom__median,1,RHipAngles_ax1_phase_30_40_rom__median,0.0
200,RHipAngles_ax1_phase_40_50_rom__median,1,RHipAngles_ax1_phase_40_50_rom__median,0.0
201,RHipAngles_ax1_phase_50_60_rom__median,1,RHipAngles_ax1_phase_50_60_rom__median,0.0
202,RHipAngles_ax1_phase_60_70_rom__median,1,RHipAngles_ax1_phase_60_70_rom__median,0.0
203,RHipAngles_ax1_phase_70_80_rom__median,1,RHipAngles_ax1_phase_70_80_rom__median,0.0
204,RHipAngles_ax1_phase_80_90_rom__median,1,RHipAngles_ax1_phase_80_90_rom__median,0.0
205,RHipAngles_ax1_phase_90_100_rom__median,1,RHipAngles_ax1_phase_90_100_rom__median,0.0
206,LKneeAngles_ax1_phase_0_10_rom__median,1,LKneeAngles_ax1_phase_0_10_rom__median,0.0
207,LKneeAngles_ax1_phase_10_20_mean__median,1,LKneeAngles_ax1_phase_10_20_mean__median,0.0
208,LKneeAngles_ax1_phase_20_30_rom__median,1,LKneeAngles_ax1_phase_20_30_rom__median,0.0
209,LKneeAngles_ax1_phase_30_40_rom__median,1,LKneeAngles_ax1_phase_30_40_rom__median,0.0
