subject_id,victimized,deviation_norm,cosine_to_victim_mean_direction
S11,N,4.516514186092712,
S12,N,20.419608202617574,
S13,Y,5.550581897554659,0.18435199308315892
S14,Y,22.407532292807513,0.45925891609199987
S15,Y,6.997374793032839,0.024707463070935964
S17,N,12.794752389193464,
S19,Y,36.386668988131184,0.7746441411083939
S2,N,3.8669624251165162,
S23,N,4.950253337308624,
S26,Y,15.33114718643716,-0.13292349259303943
S27,Y,5.740478405606723,0.14988507171036541
S3,Y,18.291119255058337,0.048854639157028465
S30,N,36.144149426429394,
S31,Y,5.158618263716647,0.13942487458268976
S32,Y,28.88155730020376,0.3683602934564963
S34,Y,7.075655535168144,0.12489101906773277
S35,N,20.88790961256432,
S37,Y,4.875057884739972,0.15083526293023272
S38,Y,4.8072680138728225,0.14492442030941702
S39,N,16.66829065933464,
S4,Y,16.41518908568403,0.09377326371770876
S40,N,21.281713806374093,
S41,N,15.942950223920237,
S42,N,4.6755654046257895,
S43,N,6.690422630590249,
S46,Y,11.281904302252745,0.17629075318952517
S48,N,4.965089965763558,
S5,Y,21.14893087071288,0.577412433506523
S7,Y,5.059539654167368,0.12189046118015369
S8,Y,15.074587419010951,0.5704010937736526
S9,N,4.05127961085645,
