representation,n_subjects,n_victims,n_controls,n_dims,mean_pairwise_cosine,bootstrap_ci_low,bootstrap_ci_high,perm_p,null_mean,null_p95,n_perm,mean_cosine_to_victim_direction,consistency_frac_positive,loso_pass,loso_sign_agreement,loso_min,residualized,residual_covariates,seed
phase4_family_pc_27d,31,17,14,27,0.06399477101002826,0.016269460325407752,0.2754338391646579,0.9164,0.18945611077177135,0.36520976528444504,9999,0.23394015337311616,0.9411764705882353,True,1.0,0.042443131109801316,False,(),20260813
phase4_family_pc_27d_residualized,31,17,14,27,0.05181913119541501,0.0018289451414393416,0.2512789721003968,0.7579,0.11029207303487745,0.25660492508128036,9999,0.309911797768908,0.8823529411764706,True,1.0,0.032298903649794417,True,"('height_cm', 'mass_kg', 'mean_leg_cm', 'cycle_duration_s_median')",20260813
