representation,n_subjects,n_victims,n_controls,n_curves,normalization,mean_pairwise_pearson,pearson_ci_low,pearson_ci_high,perm_p_pearson,null_mean_pearson,null_p95_pearson,mean_pairwise_dtw,dtw_ci_low,dtw_ci_high,perm_p_dtw,null_mean_dtw,null_p05_dtw,n_perm,loso_pass,loso_sign_agreement,n_curves_pearson_fdr_le_0_10,n_curves_dtw_fdr_le_0_10,residualized,residual_covariates,seed
phase1_zscored_core_curves,31,17,14,12,zscore_across_101_phase_points,0.5524147535678829,0.5099429434211363,0.7004780186391121,0.4936,0.5533161067105464,0.5973089259749328,4.037608559729211,3.1591476503488067,4.2377463666651245,0.4902,4.03119063536776,3.7598840388231576,9999,True,1.0,0,0,False,(),20260813
phase1_zscored_core_curves_residualized,31,17,14,12,zscore_across_101_phase_points,-0.023369891483239296,-0.04394406696994506,0.2584027302071127,0.2669,-0.029603465500581853,0.01776190593250294,7.656997577764042,5.952948892649767,7.733170830563398,0.6288,7.590725909326609,7.305638854192123,9999,False,0.8709677419354839,0,0,True,"('height_cm', 'mass_kg', 'mean_leg_cm', 'cycle_duration_s_median')",20260813
