phenotype,feature,n_in,n_out,median_in,median_out,cliffs_delta,cliffs_magnitude,direction,family,anatomical_region,side,source_signal,abs_delta
1,var_CentreOfMass_path3d_mad,27,4,33.880789931301024,67.21352177683707,-0.5185185185185185,large,LOWER_IN_PHENOTYPE,variability,mixed,none,CentreOfMass_path3d,0.5185185185185185
1,opposite_foot_off_pct__median,27,4,15.178571428571427,15.937996379889917,-0.5,large,LOWER_IN_PHENOTYPE,temporal,gait_cycle,ipsilateral,events,0.5
1,LHipAngles_ax1_phase_70_80_rom__median,27,4,14.42274284362793,16.807856559753418,-0.5,large,LOWER_IN_PHENOTYPE,phase,hip,left,LHipAngles,0.5
1,RKneeAngles_ax1_tpeak_vel_pct__median,27,4,66.0,42.0,0.49074074074074076,large,HIGHER_IN_PHENOTYPE,kinematic,knee,right,RKneeAngles,0.49074074074074076
1,RKneeAngles_ax1_phase_90_100_rom__median,27,4,17.46446943283081,4.308483749628067,0.48148148148148145,large,HIGHER_IN_PHENOTYPE,phase,knee,right,RKneeAngles,0.48148148148148145
1,RHipAngles_ax2_min__median,27,4,-7.59039306640625,-5.561169624328613,-0.48148148148148145,large,LOWER_IN_PHENOTYPE,kinematic,hip,right,RHipAngles,0.48148148148148145
1,RHipAngles_ax2_max__median,27,4,8.550296783447266,10.946595668792725,-0.48148148148148145,large,LOWER_IN_PHENOTYPE,kinematic,hip,right,RHipAngles,0.48148148148148145
1,LKneeAngles_ax1_vel_rms__median,27,4,193.31213943043576,187.04742423679141,0.48148148148148145,large,HIGHER_IN_PHENOTYPE,kinematic,knee,left,LKneeAngles,0.48148148148148145
1,RTOE_ax3_excursion__median,27,4,113.14590454101562,117.22932052612305,-0.48148148148148145,large,LOWER_IN_PHENOTYPE,spatial,foot,right,RTOE,0.48148148148148145
1,var_LHipAngles_ax1_rom_sd,27,4,2.0717203851638906,2.673316953514796,-0.48148148148148145,large,LOWER_IN_PHENOTYPE,variability,mixed,none,LHipAngles_ax1_rom,0.48148148148148145
1,LFootProgressAngles_ax3_tmax_pct__median,27,4,36.0,58.5,-0.4722222222222222,medium,LOWER_IN_PHENOTYPE,kinematic,foot,left,LFootProgressAngles,0.4722222222222222
1,LFootProgressAngles_ax3_acc_rms__median,27,4,951.1121741945361,819.6990771005978,0.46296296296296297,medium,HIGHER_IN_PHENOTYPE,kinematic,foot,left,LFootProgressAngles,0.46296296296296297
1,LHipAngles_ax1_phase_40_50_rom__median,27,4,5.245563343167305,7.263430833816528,-0.46296296296296297,medium,LOWER_IN_PHENOTYPE,phase,hip,left,LHipAngles,0.46296296296296297
1,LAnkleAngles_ax1_phase_70_80_min__median,27,4,0.08893059194087982,-8.035527467727661,0.46296296296296297,medium,HIGHER_IN_PHENOTYPE,phase,ankle,left,LAnkleAngles,0.46296296296296297
1,var_RHipAngles_ax1_rom_mad,27,4,1.2240440845489502,1.9232993125915527,-0.46296296296296297,medium,LOWER_IN_PHENOTYPE,variability,mixed,none,RHipAngles_ax1_rom,0.46296296296296297
1,var_CentreOfMass_path3d_sd,27,4,51.31374754702984,83.50003488420955,-0.46296296296296297,medium,LOWER_IN_PHENOTYPE,variability,mixed,none,CentreOfMass_path3d,0.46296296296296297
1,LAnkleAngles_ax3_rom__median,27,4,27.901694774627686,31.82202970981598,-0.4444444444444444,medium,LOWER_IN_PHENOTYPE,kinematic,ankle,left,LAnkleAngles,0.4444444444444444
1,LAnkleAngles_ax1_phase_0_10_min__median,27,4,3.9909510612487793,0.32136258482933044,0.4444444444444444,medium,HIGHER_IN_PHENOTYPE,phase,ankle,left,LAnkleAngles,0.4444444444444444
1,RAnkleAngles_ax1_phase_20_30_min__median,27,4,-1.0714093446731567,-8.012019157409668,0.4444444444444444,medium,HIGHER_IN_PHENOTYPE,phase,ankle,right,RAnkleAngles,0.4444444444444444
1,sym_HipAngles_ax1_rom_absdiff,27,4,1.6688411235809326,1.0128822326660156,0.4444444444444444,medium,HIGHER_IN_PHENOTYPE,symmetry,hip,bilateral,LHipAngles|RHipAngles,0.4444444444444444
1,LHipAngles_ax2_tpeak_vel_pct__median,27,4,27.5,60.0,-0.4351851851851852,medium,LOWER_IN_PHENOTYPE,kinematic,hip,left,LHipAngles,0.4351851851851852
1,LFootProgressAngles_ax3_tmin_pct__median,27,4,51.0,73.5,-0.4351851851851852,medium,LOWER_IN_PHENOTYPE,kinematic,foot,left,LFootProgressAngles,0.4351851851851852
1,RHipAngles_ax1_tmax_pct__median,27,4,43.0,48.0,-0.42592592592592593,medium,LOWER_IN_PHENOTYPE,kinematic,hip,right,RHipAngles,0.42592592592592593
1,RHipAngles_ax2_mean__median,27,4,1.1259860052625732,2.8381627767028674,-0.42592592592592593,medium,LOWER_IN_PHENOTYPE,kinematic,hip,right,RHipAngles,0.42592592592592593
1,LAnkleAngles_ax3_peak_vel__median,27,4,306.42192069472907,368.972364783157,-0.42592592592592593,medium,LOWER_IN_PHENOTYPE,kinematic,ankle,left,LAnkleAngles,0.42592592592592593
1,RAJC_ax2_excursion__median,27,4,56.416412353515625,66.52879333496094,-0.42592592592592593,medium,LOWER_IN_PHENOTYPE,spatial,ankle,right,RAJC,0.42592592592592593
1,LKneeAngles_ax1_phase_80_90_rom__median,27,4,13.30472183227539,25.21314811706543,-0.42592592592592593,medium,LOWER_IN_PHENOTYPE,phase,knee,left,LKneeAngles,0.42592592592592593
1,sym_KJC_path3d_absdiff,27,4,8.482534959441182,21.619541410794568,-0.42592592592592593,medium,LOWER_IN_PHENOTYPE,symmetry,knee,bilateral,LKJC|RKJC,0.42592592592592593
1,sym_TOE_path3d_si,27,4,-0.0195526551262684,0.8494723379699052,-0.42592592592592593,medium,LOWER_IN_PHENOTYPE,symmetry,foot,bilateral,LTOE|RTOE,0.42592592592592593
1,var_LKneeAngles_ax1_tmax_pct_sd,27,4,25.19477069925891,25.577978176979954,-0.42592592592592593,medium,LOWER_IN_PHENOTYPE,variability,mixed,none,LKneeAngles_ax1_tmax_pct,0.42592592592592593
1,LHipAngles_ax3_rom__median,27,4,18.402953624725342,27.082680225372314,-0.4074074074074074,medium,LOWER_IN_PHENOTYPE,kinematic,hip,left,LHipAngles,0.4074074074074074
1,LKneeAngles_ax2_tpeak_vel_pct__median,27,4,45.0,66.0,-0.4074074074074074,medium,LOWER_IN_PHENOTYPE,kinematic,knee,left,LKneeAngles,0.4074074074074074
1,LFootProgressAngles_ax2_median__median,27,4,2.444300413131714,3.6650874614715576,-0.4074074074074074,medium,LOWER_IN_PHENOTYPE,kinematic,foot,left,LFootProgressAngles,0.4074074074074074
1,RFootProgressAngles_ax1_median__median,27,4,-84.03380584716797,-85.28315734863281,0.4074074074074074,medium,HIGHER_IN_PHENOTYPE,kinematic,foot,right,RFootProgressAngles,0.4074074074074074
1,LASI_path3d__median,27,4,1407.0418758839924,1458.61950906428,-0.4074074074074074,medium,LOWER_IN_PHENOTYPE,spatial,pelvis,left,LASI,0.4074074074074074
1,RHipAngles_ax1_phase_90_100_rom__median,27,4,5.455069541931152,7.192080438137054,-0.4074074074074074,medium,LOWER_IN_PHENOTYPE,phase,hip,right,RHipAngles,0.4074074074074074
1,RAnkleAngles_ax1_phase_90_100_rom__median,27,4,2.9972782135009766,4.419088840484619,-0.4074074074074074,medium,LOWER_IN_PHENOTYPE,phase,ankle,right,RAnkleAngles,0.4074074074074074
1,sym_KneeAngles_ax1_tmax_pct_absdiff,27,4,0.5,0.0,0.4074074074074074,medium,HIGHER_IN_PHENOTYPE,symmetry,knee,bilateral,LKneeAngles|RKneeAngles,0.4074074074074074
1,sym_FootProgressAngles_ax1_tmax_pct_absdiff,27,4,1.0,0.25,0.4074074074074074,medium,HIGHER_IN_PHENOTYPE,symmetry,foot,bilateral,LFootProgressAngles|RFootProgressAngles,0.4074074074074074
1,LAnkleAngles_ax2_tmax_pct__median,27,4,49.5,60.5,-0.39814814814814814,medium,LOWER_IN_PHENOTYPE,kinematic,ankle,left,LAnkleAngles,0.39814814814814814
1,sym_AnkleAngles_ax1_tmax_pct_si,27,4,0.0,-0.970873786407767,0.39814814814814814,medium,HIGHER_IN_PHENOTYPE,symmetry,ankle,bilateral,LAnkleAngles|RAnkleAngles,0.39814814814814814
1,LKneeAngles_ax1_peak_vel__median,27,4,421.25395190859064,403.29553534904403,0.3888888888888889,medium,HIGHER_IN_PHENOTYPE,kinematic,knee,left,LKneeAngles,0.3888888888888889
1,RKneeAngles_ax3_tpeak_vel_pct__median,27,4,47.0,59.0,-0.3888888888888889,medium,LOWER_IN_PHENOTYPE,kinematic,knee,right,RKneeAngles,0.3888888888888889
1,LFootProgressAngles_ax1_tmin_pct__median,27,4,50.0,50.0,0.3888888888888889,medium,HIGHER_IN_PHENOTYPE,kinematic,foot,left,LFootProgressAngles,0.3888888888888889
1,LKneeAngles_ax1_phase_60_70_rom__median,27,4,14.03290319442749,28.854801177978516,-0.3888888888888889,medium,LOWER_IN_PHENOTYPE,phase,knee,left,LKneeAngles,0.3888888888888889
1,RAnkleAngles_ax1_phase_50_60_min__median,27,4,5.245344638824463,1.069824367761612,0.3888888888888889,medium,HIGHER_IN_PHENOTYPE,phase,ankle,right,RAnkleAngles,0.3888888888888889
1,sym_AnkleAngles_ax1_tmax_pct_absdiff,27,4,1.5,0.5,0.3888888888888889,medium,HIGHER_IN_PHENOTYPE,symmetry,ankle,bilateral,LAnkleAngles|RAnkleAngles,0.3888888888888889
1,sym_FootProgressAngles_ax1_rom_si,27,4,-0.15394928152894077,1.329606252081424,-0.3888888888888889,medium,LOWER_IN_PHENOTYPE,symmetry,foot,bilateral,LFootProgressAngles|RFootProgressAngles,0.3888888888888889
1,RFootProgressAngles_ax2_tmin_pct__median,27,4,50.0,72.5,-0.37962962962962965,medium,LOWER_IN_PHENOTYPE,kinematic,foot,right,RFootProgressAngles,0.37962962962962965
1,RKneeAngles_ax2_peak_acc__median,27,4,3282.360104646662,4680.0995605168955,-0.37037037037037035,medium,LOWER_IN_PHENOTYPE,kinematic,knee,right,RKneeAngles,0.37037037037037035
1,RFootProgressAngles_ax2_median__median,27,4,1.1494675874710083,0.7194945737719536,0.37037037037037035,medium,HIGHER_IN_PHENOTYPE,kinematic,foot,right,RFootProgressAngles,0.37037037037037035
1,LHipAngles_ax1_phase_30_40_rom__median,27,4,9.207647562026978,9.84495735168457,-0.37037037037037035,medium,LOWER_IN_PHENOTYPE,phase,hip,left,LHipAngles,0.37037037037037035
1,RHipAngles_ax1_phase_80_90_rom__median,27,4,8.75838851928711,9.098306000232697,-0.37037037037037035,medium,LOWER_IN_PHENOTYPE,phase,hip,right,RHipAngles,0.37037037037037035
1,LAnkleAngles_ax1_phase_50_60_rom__median,27,4,10.372661471366882,8.974851131439209,0.37037037037037035,medium,HIGHER_IN_PHENOTYPE,phase,ankle,left,LAnkleAngles,0.37037037037037035
1,LAnkleAngles_ax1_phase_90_100_rom__median,27,4,3.029794216156006,4.252154886722565,-0.37037037037037035,medium,LOWER_IN_PHENOTYPE,phase,ankle,left,LAnkleAngles,0.37037037037037035
1,RAnkleAngles_ax1_phase_60_70_rom__median,27,4,10.61592298746109,8.01480582356453,0.37037037037037035,medium,HIGHER_IN_PHENOTYPE,phase,ankle,right,RAnkleAngles,0.37037037037037035
1,sym_KJC_ax1_excursion_si,27,4,-0.017878278505354474,0.9084188471824926,-0.37037037037037035,medium,LOWER_IN_PHENOTYPE,symmetry,knee,bilateral,LKJC|RKJC,0.37037037037037035
1,sym_HEE_path3d_si,27,4,-0.01932358610723561,0.5083350108004104,-0.37037037037037035,medium,LOWER_IN_PHENOTYPE,symmetry,foot,bilateral,LHEE|RHEE,0.37037037037037035
1,var_cycle_duration_s_mad,27,4,0.020000000000000018,0.025000000000000022,-0.37037037037037035,medium,LOWER_IN_PHENOTYPE,variability,gait_cycle,none,cycle_duration_s,0.37037037037037035
1,var_stance_pct_sd,27,4,0.815281006849209,0.8659800703390393,-0.37037037037037035,medium,LOWER_IN_PHENOTYPE,variability,gait_cycle,none,stance_pct,0.37037037037037035
1,RFootProgressAngles_ax3_tpeak_vel_pct__median,27,4,47.0,37.25,0.3611111111111111,medium,HIGHER_IN_PHENOTYPE,kinematic,foot,right,RFootProgressAngles,0.3611111111111111
1,RKneeAngles_ax1_peak_acc__median,27,4,6761.475280743266,5562.640579553648,0.35185185185185186,medium,HIGHER_IN_PHENOTYPE,kinematic,knee,right,RKneeAngles,0.35185185185185186
1,LKneeAngles_ax3_tpeak_vel_pct__median,27,4,54.0,44.5,0.35185185185185186,medium,HIGHER_IN_PHENOTYPE,kinematic,knee,left,LKneeAngles,0.35185185185185186
1,LFootProgressAngles_ax2_tmax_pct__median,27,4,55.0,63.0,-0.35185185185185186,medium,LOWER_IN_PHENOTYPE,kinematic,foot,left,LFootProgressAngles,0.35185185185185186
1,LHipAngles_ax1_phase_90_100_rom__median,27,4,5.377084255218506,3.371366500854492,0.35185185185185186,medium,HIGHER_IN_PHENOTYPE,phase,hip,left,LHipAngles,0.35185185185185186
1,coord_left_knee_ankle_ax1_lag_pct__median,27,4,-6.0,-4.5,-0.3425925925925926,medium,LOWER_IN_PHENOTYPE,coordination,knee,left,LKneeAngles|LAnkleAngles,0.3425925925925926
1,LFootProgressAngles_ax2_mean__median,27,4,3.232014710360234,3.9957400541568155,-0.3333333333333333,medium,LOWER_IN_PHENOTYPE,kinematic,foot,left,LFootProgressAngles,0.3333333333333333
1,LFootProgressAngles_ax3_peak_acc__median,27,4,2751.0320847012986,2166.032073083252,0.3333333333333333,medium,HIGHER_IN_PHENOTYPE,kinematic,foot,left,LFootProgressAngles,0.3333333333333333
1,RAnkleAngles_ax1_phase_10_20_rom__median,27,4,9.989776611328125,15.051938623189926,-0.3333333333333333,medium,LOWER_IN_PHENOTYPE,phase,ankle,right,RAnkleAngles,0.3333333333333333
1,sym_AbsAnkleAngle_ax1_rom_absdiff,27,4,2.715359687805176,3.536403179168701,-0.3333333333333333,medium,LOWER_IN_PHENOTYPE,symmetry,ankle,bilateral,LAbsAnkleAngle|RAbsAnkleAngle,0.3333333333333333
1,sym_AbsAnkleAngle_ax1_tmax_pct_absdiff,27,4,1.0,0.5,0.3333333333333333,medium,HIGHER_IN_PHENOTYPE,symmetry,ankle,bilateral,LAbsAnkleAngle|RAbsAnkleAngle,0.3333333333333333
1,sym_TOE_path3d_absdiff,27,4,9.769525125264636,14.734243124184559,-0.3333333333333333,medium,LOWER_IN_PHENOTYPE,symmetry,foot,bilateral,LTOE|RTOE,0.3333333333333333
1,LKneeAngles_ax2_peak_acc__median,27,4,3634.3869413099555,4528.767241802796,-0.3148148148148148,small,LOWER_IN_PHENOTYPE,kinematic,knee,left,LKneeAngles,0.3148148148148148
1,LAnkleAngles_ax1_peak_acc__median,27,4,9442.633916239158,8121.518906368423,0.3148148148148148,small,HIGHER_IN_PHENOTYPE,kinematic,ankle,left,LAnkleAngles,0.3148148148148148
1,LAnkleAngles_ax3_peak_acc__median,27,4,7930.387558990619,9714.963572671426,-0.3148148148148148,small,LOWER_IN_PHENOTYPE,kinematic,ankle,left,LAnkleAngles,0.3148148148148148
1,LKJC_ax2_excursion__median,27,4,55.743896484375,44.52803039550781,0.3148148148148148,small,HIGHER_IN_PHENOTYPE,spatial,knee,left,LKJC,0.3148148148148148
1,RKJC_ax2_excursion__median,27,4,54.55643844604492,49.5855598449707,0.3148148148148148,small,HIGHER_IN_PHENOTYPE,spatial,knee,right,RKJC,0.3148148148148148
1,coord_left_knee_ankle_ax1_corr__median,27,4,-0.6666344706009106,-0.7183925019363748,0.3148148148148148,small,HIGHER_IN_PHENOTYPE,coordination,knee,left,LKneeAngles|LAnkleAngles,0.3148148148148148
1,sym_KneeAngles_ax1_rom_absdiff,27,4,1.715639591217041,0.4563932418823242,0.3148148148148148,small,HIGHER_IN_PHENOTYPE,symmetry,knee,bilateral,LKneeAngles|RKneeAngles,0.3148148148148148
1,sym_KJC_ax1_excursion_absdiff,27,4,10.057319641113281,18.165634155273438,-0.3148148148148148,small,LOWER_IN_PHENOTYPE,symmetry,knee,bilateral,LKJC|RKJC,0.3148148148148148
1,sym_AJC_ax1_excursion_absdiff,27,4,7.740699768066406,12.022281646728516,-0.3148148148148148,small,LOWER_IN_PHENOTYPE,symmetry,ankle,bilateral,LAJC|RAJC,0.3148148148148148
1,var_RKneeAngles_ax1_rom_mad,27,4,1.0714788436889648,1.5653420686721802,-0.3148148148148148,small,LOWER_IN_PHENOTYPE,variability,mixed,none,RKneeAngles_ax1_rom,0.3148148148148148
1,LHipAngles_ax3_peak_acc__median,27,4,5372.188933399948,8372.305250341577,-0.2962962962962963,small,LOWER_IN_PHENOTYPE,kinematic,hip,left,LHipAngles,0.2962962962962963
