subject_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27
S11,-1.6448002152037144,-0.9341321540471667,-1.913592227250934,-0.7303945579008753,-0.43447910858972505,0.542147159417326,-1.7147719589642625,0.1146711360703116,-0.9796240383673218,-0.1385460781463273,-0.14956095800010222,1.5168671376972307,0.06164004182180518,0.8695752254766765,-0.3575723857214424,-1.7608886358616207,0.34216536278995924,0.5736438294398195,0.043737837228018925,0.06583970901072153,-0.25864055821332327,0.3610359889313123,0.04510098511574222,0.32033411226000086,0.07334619271182916,-0.047344259669858696,0.01134765676966185
S12,-0.27443089783827995,1.1598807631286303,-9.711043527783675,17.057400874178892,5.668646356614739,-1.4730079767971507,-0.8856820374787912,2.09171603730623,-0.5250089013095982,0.92732017776776,-1.3784372158778668,-0.2613368194216706,-0.07299240947393541,-0.46483987233379453,-0.3436273502058905,0.018180302037452998,-0.23815319791385425,-0.15936436600424414,0.24529332772676649,-0.46010287660395327,-0.13902666395189522,0.1007720081703432,-0.03199506818842733,0.12062691716997087,-0.17089340172347736,-0.031093359337941592,-0.014849284365163048
S13,-2.308193589218772,-0.35602539126851507,-2.976243337052518,-2.1443179484913624,-0.9259416050389224,0.7692861189912015,-1.6467132796109853,-0.46742440077509473,-1.232079611087577,0.8261911624276351,1.0530441831761261,0.5401575386454579,1.2627959102310102,0.6939857308649565,-0.3915024396341964,1.0118099118195898,-0.6729309070963888,1.0614725815110548,0.10557828596145258,-0.06190501689765491,-0.13772165047009335,-0.3535441239573334,0.18550044964264298,0.23285967052683026,0.12783935588588946,0.030712722223704098,-0.058292882764393025
S14,-2.4946346356819324,3.035000545936786,-7.6478732102719444,-10.61203139733009,14.754834505520913,-6.608885385552726,2.6982238584159846,0.43993144800342265,-0.1065915141680538,-0.4727670684454139,0.24041482737371014,-0.1469318883550753,0.6138490188711189,-0.1667113821133396,-0.23338450699995256,-0.21099122658538816,-0.03227935766578148,-0.5000016130801541,-0.2489010265721347,0.23706879898536806,0.10159569732649593,-0.10784849548242771,-0.08317603528517199,0.09570533801446761,-0.10081538436510624,-0.025120753235349926,-0.028323057734659342
S15,-3.173936709449363,0.6007964728538718,-2.7009799576699303,-1.001046526989804,-0.7969870573864348,-0.16341891564946434,-2.579828368759918,-0.9062661309771737,-0.37803046164081405,3.6913475103673936,3.213352316071839,0.4620654612573549,-1.6036535197317296,-0.3870166233544844,0.1306139769109405,-0.2914299653725531,0.49750102453765443,-0.1604844616038208,-0.1956149286446686,-0.1630372004687449,-0.10213773144473134,-0.12683773575597565,-0.18957160529381875,-0.007218483990140301,-0.08696526241373799,0.12480741919186163,0.026678001423481788
S17,-4.334352737891932,6.535977951019175,-5.7789465906561395,4.674615982744896,-0.02306020467185852,7.032087994212571,-3.181550057753267,5.4509457603329325,1.408789725884027,-0.02775610078723258,1.0499327993334875,-0.09690060958156324,1.0366601207705508,-0.1576527054196119,0.23612311833999672,0.3230157060385031,0.21191912119216616,0.05914340311319514,-0.5892382307787152,0.6712278958908525,0.04398564819255266,0.02078847347920969,-0.03959311887846112,-0.08755132897452968,0.1303974178473496,-0.01224372888720196,-0.0007358503483915839
S19,23.636100079437938,-20.27867345289835,7.887310448839045,1.0522541744789695,-0.08591573105801724,-10.598714806046404,-5.986512923530127,2.572863588995904,0.5080980660462793,0.009953370534581174,0.23579230841548288,0.0511852889437051,0.009985701530014955,0.02570215608373717,0.07177662513941649,0.22600825615507847,0.02040199128726709,0.0699596392217635,-0.17302017059107383,0.16073809749949616,0.0658903998171299,0.04554335349828789,0.012106752206569595,-0.014117677325114843,0.022227103915442116,-0.0026455721192269253,0.0019954576950475746
S2,-2.1238987029338934,0.40808434523377,-1.1151450967965655,-1.2165121498683078,-1.0160394099500953,0.7914480513258594,-1.3447158987839687,-0.5281509137594775,-0.35857323390587587,-0.1992797577875778,0.5756948761391211,0.9702805806301629,0.7365978749295552,0.46272373625855406,1.7226885014820006,0.06785871723523543,-0.9451143568716678,0.09059364201889816,0.08106617691012061,-0.2023489900608927,0.659966585937756,0.08534231868510735,-0.31118934674121845,-0.028050249389940864,-0.19809476474235052,-0.040968349447662075,-0.00990519176549258
S23,-2.1126583970377038,-0.0790851871819195,-1.825926813008999,-0.3029411166840958,-0.8201321344270626,0.44477777373945077,-2.257018687960096,-1.7946193550743004,-1.6524575488420092,-0.35510676050868256,-0.5394824542928828,0.06335853367479455,-2.283524245346828,-0.7386315390742624,-0.8119299018606029,0.7160126516348992,-0.14537718760340293,-0.05158869990948212,-0.30091550885681345,-0.10000821096430335,0.060526155832143436,-0.10203139467008034,-0.2062690339271464,-0.03146503789711024,0.20491396518717395,-0.19262913599603523,-0.03281129988653762
S26,-1.4759563439151873,11.101975835728705,10.468989476479813,0.8623899760945984,2.107549912375468,-1.6242304359245263,-1.2706833857642283,-1.6445597608057017,0.7613486623575778,-0.36213664879515917,0.8386478826701178,-0.5818055033092153,0.7142174262364624,-0.5202259862988048,-0.54211795522608,-0.13916819454388835,-0.34886179264248574,-0.11234467663435622,-0.9413913753441402,-0.5693838275047232,0.37511923716977,0.24108217584274785,0.1614887591477387,0.14417746794647346,0.14877538975756877,0.026322456472827285,0.028474761411428937
S27,-3.010420600668012,-1.5990915869979907,-1.2046299174674495,-0.5428127806031372,-0.9176592890241766,2.0799409069398322,-1.6987686044215482,0.09447747060172423,2.247727655420116,-1.7723166596155622,0.39196926200829957,-0.5051594904432458,-1.9042354100990417,-0.2321580067894587,0.2592813784004826,-0.35168044244201396,-0.3189131148114494,-0.16563049727142012,0.8492334268737565,0.09498652377626536,0.3245562507947726,-0.054123843055354774,0.009384960456181427,0.2639719006983281,0.07875043302807551,0.08620272976640887,-0.05945106772010129
