method,k,mean_boot_ari,boot_ari_p10,boot_ari_p90,mean_loso_ari,n_boot,subsample_fraction,unit
hierarchical,2,0.7546071898190309,-0.07839780896953098,1.0,0.9652824998898618,150,0.8,subject
kmeans,2,0.7813728828991661,-0.05363984674329502,1.0,0.9751753687365753,150,0.8,subject
hierarchical,3,0.8511854996284733,0.4688385269121813,1.0,0.9836470205354755,150,0.8,subject
kmeans,3,0.6160695090730873,0.4136313465783664,1.0,0.7696486264994626,150,0.8,subject
hierarchical,4,0.9631612121088383,0.8599766627771295,1.0,1.0,150,0.8,subject
kmeans,4,0.9235401207258999,0.7349342999546896,1.0,0.9968778549171479,150,0.8,subject
