method,k,silhouette,davies_bouldin,min_size,max_size,sizes,mean_within_ss,mean_between_centroid
hierarchical,2,0.41503306618271296,0.9847734136611913,4,27,4|27,185.0601214955538,23.47993598154986
kmeans,2,0.41503306618271296,0.9847734136611913,4,27,27|4,185.0601214955538,23.47993598154986
hierarchical,3,0.435164909677269,1.0378702584033925,2,25,4|2|25,227.24956922834326,30.249766381910547
kmeans,3,0.38540581069743696,0.881715943810445,4,23,4|23|4,126.4241848156206,23.321004257587727
hierarchical,4,0.42702313922692314,0.9132591120633298,2,21,4|2|4|21,169.59770603743533,28.307662647926474
kmeans,4,0.4126324604627295,0.703186717658818,1,22,22|4|1|4,82.95293490393904,33.41715127830901
