feature,full_cliffs_delta,loso_delta_median,loso_delta_min,loso_delta_max,loso_direction_agreement,loso_max_abs_shift
RPSI_ax2_excursion__median,-0.3025210084033613,-0.3031674208144796,-0.3936651583710407,-0.248868778280543,1.0,0.09114414996767939
LPSI_ax3_excursion__median,-0.226890756302521,-0.23214285714285715,-0.30357142857142855,-0.17647058823529413,1.0,0.07668067226890754
LKJC_ax2_excursion__median,-0.19327731092436976,-0.1875,-0.2850678733031674,-0.13122171945701358,1.0,0.09179056237879765
LKJC_ax3_excursion__median,0.17647058823529413,0.1583710407239819,0.125,0.2579185520361991,1.0,0.081447963800905
RKJC_ax2_excursion__median,-0.14285714285714285,-0.15178571428571427,-0.22171945701357465,-0.07692307692307693,1.0,0.0788623141564318
RKJC_ax3_excursion__median,0.29411764705882354,0.2857142857142857,0.25,0.38461538461538464,1.0,0.0904977375565611
LAJC_ax2_excursion__median,-0.31932773109243695,-0.31221719457013575,-0.39285714285714285,-0.2669683257918552,1.0,0.0735294117647059
LAJC_ax3_excursion__median,0.11764705882352941,0.10714285714285714,0.058823529411764705,0.20361990950226244,1.0,0.08597285067873303
RAJC_ax2_excursion__median,-0.24369747899159663,-0.25892857142857145,-0.32142857142857145,-0.19457013574660634,1.0,0.07773109243697482
RAJC_ax3_excursion__median,0.008403361344537815,0.008928571428571428,-0.058823529411764705,0.08597285067873303,0.5483870967741935,0.07756948933419522
LHEE_ax2_excursion__median,-0.24369747899159663,-0.25,-0.32142857142857145,-0.19457013574660634,1.0,0.07773109243697482
RHEE_ax3_excursion__median,-0.01680672268907563,-0.02262443438914027,-0.08035714285714286,0.049773755656108594,0.5806451612903226,0.06658047834518423
RHEE_ax2_excursion__median,-0.10084033613445378,-0.10407239819004525,-0.16964285714285715,-0.04072398190045249,1.0,0.06880252100840337
LTOE_ax2_excursion__median,-0.2773109243697479,-0.27601809954751133,-0.34841628959276016,-0.22171945701357465,1.0,0.07110536522301225
LTOE_ax3_excursion__median,-0.04201680672268908,-0.044642857142857144,-0.12217194570135746,0.03167420814479638,0.7096774193548387,0.08015513897866838
RTOE_ax2_excursion__median,-0.16806722689075632,-0.167420814479638,-0.248868778280543,-0.11312217194570136,1.0,0.08080155138978667
RTOE_ax3_excursion__median,-0.2184873949579832,-0.20535714285714285,-0.31221719457013575,-0.167420814479638,1.0,0.09372979961215255
CentreOfMass_ax2_excursion__median,-0.10084033613445378,-0.09502262443438914,-0.167420814479638,-0.03167420814479638,1.0,0.0691661279896574
LHipAngles_ax1_phase_0_10_rom__median,0.06722689075630252,0.07142857142857142,0.004524886877828055,0.1493212669683258,1.0,0.08209437621202327
LHipAngles_ax1_phase_10_20_rom__median,0.03361344537815126,0.03167420814479638,-0.02262443438914027,0.11312217194570136,0.6451612903225806,0.07950872656755009
LHipAngles_ax1_phase_30_40_rom__median,-0.08403361344537816,-0.07692307692307693,-0.167420814479638,-0.02262443438914027,1.0,0.08338720103425984
LHipAngles_ax1_phase_40_50_rom__median,-0.06722689075630252,-0.05357142857142857,-0.1493212669683258,-0.017857142857142856,1.0,0.08209437621202327
