feature,observed_cliffs_delta,perm_p,n_perm,unit
RKneeAngles_ax2_peak_acc__median,0.25210084033613445,0.251,999,subject
RKneeAngles_ax3_max__median,-0.05042016806722689,0.816,999,subject
RKneeAngles_ax3_std__median,-0.01680672268907563,0.947,999,subject
RKneeAngles_ax3_rom__median,-0.008403361344537815,0.984,999,subject
RKneeAngles_ax3_tmin_pct__median,-0.008403361344537815,0.979,999,subject
RKneeAngles_ax3_tmax_pct__median,0.31512605042016806,0.147,999,subject
RKneeAngles_ax3_peak_vel__median,0.23529411764705882,0.308,999,subject
RKneeAngles_ax3_tpeak_vel_pct__median,-0.3445378151260504,0.1,999,subject
RKneeAngles_ax3_peak_acc__median,0.48739495798319327,0.024,999,subject
LAnkleAngles_ax1_min__median,0.31932773109243695,0.128,999,subject
LAnkleAngles_ax1_max__median,0.11764705882352941,0.622,999,subject
LAbsAnkleAngle_ax1_mean__median,0.14285714285714285,0.544,999,subject
LAnkleAngles_ax1_rom__median,-0.18487394957983194,0.417,999,subject
LAnkleAngles_ax1_tmax_pct__median,-0.18487394957983194,0.381,999,subject
LAnkleAngles_ax1_peak_vel__median,-0.06722689075630252,0.775,999,subject
LAnkleAngles_ax1_peak_acc__median,0.07563025210084033,0.757,999,subject
LAnkleAngles_ax3_min__median,-0.226890756302521,0.3,999,subject
LAnkleAngles_ax2_rom__median,-0.13445378151260504,0.535,999,subject
LAnkleAngles_ax2_tmin_pct__median,0.3319327731092437,0.113,999,subject
LAnkleAngles_ax2_tmax_pct__median,0.037815126050420166,0.867,999,subject
LAnkleAngles_ax2_tpeak_vel_pct__median,0.2857142857142857,0.178,999,subject
LAnkleAngles_ax3_rom__median,-0.008403361344537815,0.987,999,subject
LAnkleAngles_ax3_peak_vel__median,0.16806722689075632,0.438,999,subject
LAnkleAngles_ax3_tpeak_vel_pct__median,0.17647058823529413,0.426,999,subject
LAnkleAngles_ax3_peak_acc__median,0.20168067226890757,0.354,999,subject
RAnkleAngles_ax1_min__median,0.20168067226890757,0.36,999,subject
RAnkleAngles_ax1_max__median,0.15126050420168066,0.5,999,subject
RAnkleAngles_ax1_mean__median,0.16806722689075632,0.462,999,subject
RAnkleAngles_ax1_median__median,0.1092436974789916,0.641,999,subject
RAnkleAngles_ax1_rom__median,-0.07563025210084033,0.744,999,subject
RAbsAnkleAngle_ax1_tmax_pct__median,0.09243697478991597,0.644,999,subject
RAnkleAngles_ax1_peak_vel__median,0.10084033613445378,0.65,999,subject
RAbsAnkleAngle_ax1_peak_acc__median,0.2184873949579832,0.31,999,subject
RAnkleAngles_ax3_max__median,0.20168067226890757,0.332,999,subject
RAnkleAngles_ax2_rom__median,-0.1092436974789916,0.653,999,subject
RAnkleAngles_ax2_tmin_pct__median,0.09663865546218488,0.629,999,subject
RAnkleAngles_ax2_tmax_pct__median,0.23529411764705882,0.27,999,subject
RAnkleAngles_ax3_tpeak_vel_pct__median,-0.15966386554621848,0.459,999,subject
RAnkleAngles_ax2_peak_acc__median,0.21008403361344538,0.336,999,subject
RAnkleAngles_ax3_rom__median,0.05042016806722689,0.822,999,subject
RAnkleAngles_ax3_peak_vel__median,0.3277310924369748,0.13,999,subject
