representation,n_subjects,n_victims,n_controls,n_pairs,crp_method,mean_pairwise_pearson,pearson_ci_low,pearson_ci_high,perm_p_pearson,null_mean_pearson,mean_pairwise_dtw,dtw_ci_low,dtw_ci_high,perm_p_dtw,null_mean_dtw,n_perm,loso_pass,loso_sign_agreement,n_pairs_pearson_fdr_le_0_10,n_pairs_dtw_fdr_le_0_10,n_fdr_family,residualized,residual_covariates,seed
hilbert_crp_unwrapped,31,17,14,6,hilbert_analytic_phase,0.8374431480145054,0.8086200191563443,0.8853159333697521,0.5536,0.8394955172574068,16.604947203438844,12.349338784245399,17.349368475143443,0.6883,16.035433656663617,9999,True,1.0,0,0,12,False,(),20260813
hilbert_crp_unwrapped_residualized,31,17,14,6,hilbert_analytic_phase,0.6493969168966108,0.6241362160507997,0.723344114007136,0.929,0.6762901470475436,17.62505483572455,13.16878604804798,18.91953290329329,0.6048,17.22483148462879,9999,True,1.0,0,0,12,True,"('height_cm', 'mass_kg', 'mean_leg_cm', 'cycle_duration_s_median')",20260813
