anatomical_region,n_features,n_medium_or_large_effect,n_fdr_pass,median_abs_cliffs_delta,max_abs_cliffs_delta
knee,80,8,0,0.15126050420168066,0.542016806722689
hip,64,7,0,0.11764705882352941,0.49159663865546216
ankle,87,4,0,0.12605042016806722,0.46218487394957986
foot,66,5,0,0.11554621848739496,0.4369747899159664
mixed,21,1,0,0.12605042016806722,0.3949579831932773
pelvis,8,0,0,0.1764705882352941,0.3025210084033613
whole_body,2,0,0,0.18907563025210083,0.2773109243697479
gait_cycle,7,0,0,0.046218487394957986,0.21008403361344538
