channel,signal,axis,family,level,anatomical_region,side,related_marker,eligible
CentreOfMass_ax3,CentreOfMass,ax3,com,primary,whole_body,none,CentreOfMass,True
CentreOfMassFloor_ax1,CentreOfMassFloor,ax1,com,secondary,whole_body,none,CentreOfMassFloor,True
CentreOfMassFloor_ax2,CentreOfMassFloor,ax2,com,secondary,whole_body,none,CentreOfMassFloor,True
CentreOfMassFloor_ax3,CentreOfMassFloor,ax3,com,secondary,whole_body,none,CentreOfMassFloor,True
HipAngles_ax1_LminusR,HipAngles_ax1_LminusR,ax1,asymmetry,primary_asymmetry,bilateral,bilateral,HipAngles_ax1_LminusR,True
HipAngles_ax1_absLminusR,HipAngles_ax1_absLminusR,ax1,asymmetry,primary_asymmetry,bilateral,bilateral,HipAngles_ax1_absLminusR,True
KneeAngles_ax1_LminusR,KneeAngles_ax1_LminusR,ax1,asymmetry,primary_asymmetry,bilateral,bilateral,KneeAngles_ax1_LminusR,True
KneeAngles_ax1_absLminusR,KneeAngles_ax1_absLminusR,ax1,asymmetry,primary_asymmetry,bilateral,bilateral,KneeAngles_ax1_absLminusR,True
AnkleAngles_ax1_LminusR,AnkleAngles_ax1_LminusR,ax1,asymmetry,primary_asymmetry,bilateral,bilateral,AnkleAngles_ax1_LminusR,True
AnkleAngles_ax1_absLminusR,AnkleAngles_ax1_absLminusR,ax1,asymmetry,primary_asymmetry,bilateral,bilateral,AnkleAngles_ax1_absLminusR,True
FootProgressAngles_ax1_LminusR,FootProgressAngles_ax1_LminusR,ax1,asymmetry,secondary_asymmetry,bilateral,bilateral,FootProgressAngles_ax1_LminusR,True
FootProgressAngles_ax1_absLminusR,FootProgressAngles_ax1_absLminusR,ax1,asymmetry,secondary_asymmetry,bilateral,bilateral,FootProgressAngles_ax1_absLminusR,True
