phenotype,n_subjects,n_victimized,n_control,prop_victimized,prop_control,expected_prop_victimized,fisher_p
1,27,15,12,0.5555555555555556,0.4444444444444444,0.5483870967741935,1.0
2,4,2,2,0.5,0.5,0.5483870967741935,1.0
