feature,n_subjects,n_victims,n_controls,victim_median,control_median,victim_mean,control_mean,abs_median_diff,rel_median_diff,cliffs_delta,standardized_median_iqr,cliffs_delta_ci_lo,cliffs_delta_ci_hi,cliffs_magnitude,direction,victim_consistency,control_consistency,mannwhitney_u,raw_p,test,fdr_q,adjusted_p,full_cliffs_delta,loso_delta_median,loso_delta_min,loso_delta_max,loso_direction_agreement,loso_max_abs_shift,observed_cliffs_delta,perm_p,n_perm,unit,anatomical_region,family,side,source_signal,rank_score,signature_status,rank
RKneeAngles_ax1_phase_0_10_rom__median,31,17,14,11.008238315582275,13.275313138961792,11.088118258644553,12.402709578829151,2.2670748233795166,-0.17077373615586255,-0.3865546218487395,-0.7219622089214557,-0.790126050420168,0.025210084033613446,medium,VICTIMS_LOWER,0.8823529411764706,0.7142857142857143,73.0,0.07090482557629343,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.3865546218487395,-0.375,-0.49321266968325794,-0.3393665158371041,1.0,0.10665804783451843,-0.3865546218487395,0.074,999,subject,knee,phase,right,RKneeAngles,0.04604547701433515,exploratory,11
LAnkleAngles_ax2_tmin_pct__median,31,17,14,52.5,41.75,48.970588235294116,35.107142857142854,10.75,0.25748502994011974,0.3319327731092437,0.441025641025641,-0.14285714285714285,0.7310924369747899,medium,VICTIMS_HIGHER,0.8823529411764706,0.7142857142857143,158.5,0.12062690189299562,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.3319327731092437,0.32589285714285715,0.28054298642533937,0.4343891402714932,1.0,0.10245636716224954,0.3319327731092437,0.113,999,subject,ankle,kinematic,left,LAnkleAngles,0.04393227879387049,exploratory,12
sym_HipAngles_ax1_tmax_pct_absdiff,31,17,14,2.0,7.5,14.117647058823529,32.714285714285715,5.5,-0.7333333333333333,-0.4117647058823529,-0.15547703180212014,-0.7563025210084033,-0.029306722689075724,medium,VICTIMS_LOWER,0.8235294117647058,0.7142857142857143,70.0,0.0519587387776346,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.4117647058823529,-0.3936651583710407,-0.4955357142857143,-0.37104072398190047,1.0,0.08377100840336138,-0.4117647058823529,0.051,999,subject,hip,symmetry,bilateral,LHipAngles|RHipAngles,0.04323529411764705,exploratory,13
RHipAngles_ax1_phase_60_70_rom__median,31,17,14,11.493815183639526,9.904807090759277,11.4112889381016,10.609272497040886,1.589008092880249,0.16042796980495658,0.3865546218487395,0.8459184028337475,0.008403361344537815,0.7647058823529411,medium,VICTIMS_HIGHER,0.8235294117647058,0.8571428571428571,165.0,0.07090482557629343,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.3865546218487395,0.3665158371040724,0.35714285714285715,0.49321266968325794,1.0,0.10665804783451843,0.3865546218487395,0.062,999,subject,hip,phase,right,RHipAngles,0.0429757785467128,exploratory,14
LHipAngles_ax3_tmax_pct__median,31,17,14,43.0,58.25,47.411764705882355,60.285714285714285,15.25,-0.26180257510729615,-0.3949579831932773,-0.5674418604651162,-0.7478991596638656,0.02100840336134454,medium,VICTIMS_LOWER,0.7058823529411765,0.6428571428571429,72.0,0.06457278440870777,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.3949579831932773,-0.4017857142857143,-0.4660633484162896,-0.34841628959276016,1.0,0.0711053652230123,-0.3949579831932773,0.052,999,subject,hip,kinematic,left,LHipAngles,0.04181908057340583,exploratory,15
RKneeAngles_ax2_tmax_pct__median,31,17,14,53.0,49.75,63.1764705882353,52.92857142857143,3.25,0.06532663316582915,0.3487394957983193,0.14168937329700274,-0.07174369747899158,0.7058823529411765,medium,VICTIMS_HIGHER,0.7647058823529411,0.6428571428571429,160.5,0.10325582440165085,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.3487394957983193,0.3438914027149321,0.2986425339366516,0.4072398190045249,1.0,0.05850032320620557,0.3487394957983193,0.104,999,subject,knee,kinematic,right,RKneeAngles,0.04000247157686603,exploratory,16
RHipAngles_ax1_peak_acc__median,31,17,14,2356.7974056440926,2027.9810898349901,2622.654388506975,2327.5703041876977,328.81631580910243,0.16213973466382622,0.33613445378151263,0.5641547621946299,-0.07563025210084033,0.7144957983193275,medium,VICTIMS_HIGHER,0.7647058823529411,0.7857142857142857,159.0,0.11689950779539895,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.33613445378151263,0.3212669683257919,0.29411764705882354,0.43891402714932126,1.0,0.10277957336780863,0.33613445378151263,0.122,999,subject,hip,kinematic,right,RHipAngles,0.03855659911023233,exploratory,17
RKneeAngles_ax1_phase_20_30_rom__median,31,17,14,5.456448554992676,6.892841339111328,6.019351033603444,6.8911522797175815,1.4363927841186523,-0.2083890682305828,-0.3949579831932773,-0.9299919082386233,-0.7647058823529411,0.04201680672268908,medium,VICTIMS_LOWER,0.7058823529411765,0.9285714285714286,72.0,0.06492404931469167,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.3949579831932773,-0.38461538461538464,-0.502262443438914,-0.34841628959276016,1.0,0.10730446024563672,-0.3949579831932773,0.066,999,subject,knee,phase,right,RKneeAngles,0.03763717251606525,exploratory,18
RHipAngles_ax1_median__median,31,17,14,27.89836311340332,25.215672492980957,29.184644250308764,23.830910478319442,2.6826906204223633,0.10638981058978768,0.3277310924369748,0.24717692795079949,-0.08424369747899159,0.6974789915966386,small,VICTIMS_HIGHER,0.7647058823529411,0.7142857142857143,158.0,0.12645617291148628,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.3277310924369748,0.3212669683257919,0.27601809954751133,0.42081447963800905,1.0,0.09308338720103426,0.3277310924369748,0.13,999,subject,hip,kinematic,right,RHipAngles,0.03759268413247652,exploratory,19
LKneeAngles_ax2_tmax_pct__median,31,17,14,44.0,65.5,50.26470588235294,63.892857142857146,21.5,-0.3282442748091603,-0.35294117647058826,-0.8249400479616307,-0.7058823529411765,0.05903361344537796,medium,VICTIMS_LOWER,0.7058823529411765,0.7857142857142857,77.0,0.09928969978543735,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.35294117647058826,-0.3438914027149321,-0.42857142857142855,-0.3031674208144796,1.0,0.07563025210084029,-0.35294117647058826,0.097,999,subject,knee,kinematic,left,LKneeAngles,0.037370242214532876,exploratory,20
