feature,cliffs_delta,cliffs_delta_ci_lo,cliffs_delta_ci_hi,cliffs_magnitude,direction,abs_median_diff,rel_median_diff,standardized_median_iqr
LAnkleAngles_ax2_tpeak_vel_pct__median,0.2857142857142857,-0.12605042016806722,0.6555672268907562,small,VICTIMS_HIGHER,5.25,0.1320754716981132,0.16535433070866143
LFootProgressAngles_ax1_max__median,-0.2857142857142857,-0.680672268907563,0.13445378151260504,small,VICTIMS_LOWER,2.6277523040771484,-0.18883730442056704,-0.5037008956137565
RKneeAngles_ax1_msjerk__median,0.3277310924369748,-0.07563025210084033,0.6890756302521008,small,VICTIMS_HIGHER,863968000.8286986,0.41276976934498677,0.35402386617993514
RKJC_ax3_excursion__median,0.29411764705882354,-0.15126050420168066,0.6556722689075628,small,VICTIMS_HIGHER,4.029083251953125,0.04334444097900491,0.24847891358111823
LKneeAngles_ax1_phase_10_20_mean__median,0.2857142857142857,-0.15987394957983192,0.6722689075630253,small,VICTIMS_HIGHER,1.813928699493406,0.059971868645205526,0.1935350466131674
sym_AnkleAngles_ax1_tmax_pct_si,-0.3277310924369748,-0.6850840336134454,0.06302521008403361,small,VICTIMS_LOWER,1.9424799622819424,-1.0,-0.3682320277273909
sym_HEE_ax1_excursion_absdiff,0.3025210084033613,-0.07563025210084033,0.6892857142857141,small,VICTIMS_HIGHER,3.6786575317382812,0.5958640274940589,0.41815079307522224
RHipAngles_ax3_tmax_pct__median,0.25630252100840334,-0.17657563025210085,0.6638655462184874,small,VICTIMS_HIGHER,11.25,0.25139664804469275,0.703125
LFootProgressAngles_ax2_median__median,-0.3025210084033613,-0.680672268907563,0.09243697478991597,small,VICTIMS_LOWER,0.7074402570724487,-0.22851937216886925,-0.30634990722553646
RFootProgressAngles_ax2_min__median,0.25210084033613445,-0.16806722689075632,0.6638655462184874,small,VICTIMS_HIGHER,1.9657460451126099,0.39236081178530563,0.4517014496610579
RKneeAngles_ax2_rom__median,0.29411764705882354,-0.12605042016806722,0.6808823529411763,small,VICTIMS_HIGHER,4.548321545124054,0.34830130945394316,0.4794440208639858
LHipAngles_ax2_peak_acc__median,0.2689075630252101,-0.12626050420168067,0.6470588235294118,small,VICTIMS_HIGHER,236.61767737937225,0.14684996005289866,0.31192512385785803
LFootProgressAngles_ax2_tmax_pct__median,0.24789915966386555,-0.17237394957983193,0.6596638655462185,small,VICTIMS_HIGHER,17.0,0.4146341463414634,0.7157894736842105
RAnkleAngles_ax1_phase_50_60_min__median,0.29411764705882354,-0.08403361344537816,0.6556722689075628,small,VICTIMS_HIGHER,2.437434196472168,0.6852410436015441,0.3417399934538435
sym_HEE_path3d_absdiff,0.3025210084033613,-0.12626050420168067,0.6890756302521008,small,VICTIMS_HIGHER,8.126085551638198,1.3528035091337758,0.619533765568405
LAnkleAngles_ax1_phase_50_60_rom__median,-0.2857142857142857,-0.6554621848739496,0.12605042016806722,small,VICTIMS_LOWER,1.3236955404281616,-0.12408893120363357,-0.4525423714501808
RKneeAngles_ax2_peak_acc__median,0.25210084033613445,-0.12605042016806722,0.6558823529411761,small,VICTIMS_HIGHER,745.8596596658854,0.24939022644072695,0.4761539006070214
LAnkleAngles_ax3_min__median,-0.226890756302521,-0.6302521008403361,0.17668067226890738,small,VICTIMS_LOWER,9.177414417266846,-1.565937452758912,-0.5653096232902002
LKneeAngles_ax1_max__median,0.24369747899159663,-0.19369747899159662,0.6470588235294118,small,VICTIMS_HIGHER,2.6459827423095703,0.03817942486017484,0.3668447288102953
RKneeAngles_ax1_phase_90_100_mean__median,0.29411764705882354,-0.13445378151260504,0.6638655462184874,small,VICTIMS_HIGHER,2.100466598163951,0.11886144497329315,0.41132933643018704
RTOE_ax3_excursion__median,-0.2184873949579832,-0.6472689075630252,0.21008403361344538,small,VICTIMS_LOWER,3.5600204467773438,-0.03050419631350944,-0.3365328632330392
RPSI_ax2_excursion__median,-0.3025210084033613,-0.680672268907563,0.1092436974789916,small,VICTIMS_LOWER,5.954795837402344,-0.09744484552602328,-0.3777403321060311
LFootProgressAngles_ax2_min__median,-0.2605042016806723,-0.6304621848739496,0.15126050420168066,small,VICTIMS_LOWER,0.6417586803436279,-0.4928673348964026,-0.1676527510972227
sym_HEE_path3d_si,0.2773109243697479,-0.11785714285714284,0.6890756302521008,small,VICTIMS_HIGHER,0.3167384424766214,2.3776998772658873,0.23827202983708606
