method,k,mean_boot_ari,boot_ari_p10,boot_ari_p90,mean_loso_ari,n_boot,subsample_fraction,unit
hierarchical,2,0.9552238805970148,1.0,1.0,1.0,150,0.8,subject
kmeans,2,0.6974091627172195,0.0,1.0,0.7205882352941178,150,0.8,subject
hierarchical,3,0.7783618137092638,0.3137254901960784,1.0,0.9331404693024751,150,0.8,subject
kmeans,3,0.7558853732477739,0.3137254901960784,1.0,0.8849274865705369,150,0.8,subject
