method,k,silhouette,davies_bouldin,min_size,max_size,sizes,mean_within_ss,mean_between_centroid
hierarchical,2,0.46088015993364095,1.1741376578042295,2,15,15|2,269.9474146245774,26.092031561597565
kmeans,2,0.4847725962173744,0.34226514848670725,1,16,16|1,95.33412545289494,35.01956916164467
hierarchical,3,0.43416176989417876,0.34452474412518774,1,15,15|1|1,49.326455972604684,34.9496147535691
kmeans,3,0.43416176989417876,0.34452474412518774,1,15,15|1|1,49.326455972604684,34.9496147535691
