channel,time_percent,control_median,n_control,level
LASI_ax2,29,369.9731140136719,14,secondary
LASI_ax2,30,369.23118591308594,14,secondary
LASI_ax2,31,368.5774841308594,14,secondary
LASI_ax2,32,367.99908447265625,14,secondary
LASI_ax2,33,367.49261474609375,14,secondary
LASI_ax2,34,367.05535888671875,14,secondary
LASI_ax2,35,366.68418884277344,14,secondary
LASI_ax2,36,366.38507080078125,14,secondary
LASI_ax2,37,366.1513366699219,14,secondary
LASI_ax2,38,365.98695373535156,14,secondary
LASI_ax2,39,365.8966369628906,14,secondary
LASI_ax2,40,365.8836212158203,14,secondary
LASI_ax2,41,365.9605712890625,14,secondary
LASI_ax2,42,366.110107421875,14,secondary
LASI_ax2,43,366.3265380859375,14,secondary
LASI_ax2,44,366.6053161621094,14,secondary
LASI_ax2,45,366.9301300048828,14,secondary
LASI_ax2,46,367.23731994628906,14,secondary
LASI_ax2,47,367.65638732910156,14,secondary
LASI_ax2,48,368.1531066894531,14,secondary
LASI_ax2,49,368.6968536376953,14,secondary
LASI_ax2,50,368.9591522216797,14,secondary
LASI_ax2,51,369.1002960205078,14,secondary
LASI_ax2,52,369.15843200683594,14,secondary
LASI_ax2,53,369.1361083984375,14,secondary
LASI_ax2,54,369.0401153564453,14,secondary
LASI_ax2,55,368.99632263183594,14,secondary
LASI_ax2,56,369.68775939941406,14,secondary
LASI_ax2,57,371.06158447265625,14,secondary
LASI_ax2,58,371.11138916015625,14,secondary
LASI_ax2,59,370.770751953125,14,secondary
LASI_ax2,60,370.3301696777344,14,secondary
LASI_ax2,61,369.6385040283203,14,secondary
LASI_ax2,62,370.9776153564453,14,secondary
LASI_ax2,63,372.7729797363281,14,secondary
LASI_ax2,64,374.7973937988281,14,secondary
LASI_ax2,65,377.0062561035156,14,secondary
LASI_ax2,66,378.47862243652344,14,secondary
LASI_ax2,67,379.356689453125,14,secondary
LASI_ax2,68,381.23316955566406,14,secondary
LASI_ax2,69,383.6803436279297,14,secondary
LASI_ax2,70,385.06427001953125,14,secondary
LASI_ax2,71,386.9161071777344,14,secondary
LASI_ax2,72,387.60931396484375,14,secondary
LASI_ax2,73,387.6331329345703,14,secondary
LASI_ax2,74,387.65711975097656,14,secondary
LASI_ax2,75,387.6947479248047,14,secondary
LASI_ax2,76,387.7550506591797,14,secondary
LASI_ax2,77,387.84397888183594,14,secondary
LASI_ax2,78,387.1908264160156,14,secondary
LASI_ax2,79,385.79734802246094,14,secondary
LASI_ax2,80,384.29774475097656,14,secondary
LASI_ax2,81,382.7430877685547,14,secondary
LASI_ax2,82,381.1582794189453,14,secondary
LASI_ax2,83,379.52618408203125,14,secondary
LASI_ax2,84,377.833251953125,14,secondary
LASI_ax2,85,376.79331970214844,14,secondary
LASI_ax2,86,375.9447784423828,14,secondary
LASI_ax2,87,375.1404113769531,14,secondary
LASI_ax2,88,376.2137756347656,14,secondary
LASI_ax2,89,377.3439483642578,14,secondary
LASI_ax2,90,378.4450225830078,14,secondary
LASI_ax2,91,378.28131103515625,14,secondary
LASI_ax2,92,377.7404327392578,14,secondary
LASI_ax2,93,377.26039123535156,14,secondary
LASI_ax2,94,377.1728973388672,14,secondary
LASI_ax2,95,378.1463317871094,14,secondary
LASI_ax2,96,379.2705841064453,14,secondary
LASI_ax2,97,380.1769714355469,14,secondary
LASI_ax2,98,381.07411193847656,14,secondary
LASI_ax2,99,381.9668426513672,14,secondary
LASI_ax2,100,382.87278747558594,14,secondary
LASI_ax3,0,900.7178497314453,14,secondary
LASI_ax3,1,898.6717224121094,14,secondary
LASI_ax3,2,896.3334350585938,14,secondary
LASI_ax3,3,894.3205871582031,14,secondary
LASI_ax3,4,892.1833038330078,14,secondary
LASI_ax3,5,890.7946624755859,14,secondary
LASI_ax3,6,890.5009918212891,14,secondary
LASI_ax3,7,890.1031799316406,14,secondary
LASI_ax3,8,890.2048034667969,14,secondary
LASI_ax3,9,891.1465301513672,14,secondary
LASI_ax3,10,892.4378814697266,14,secondary
LASI_ax3,11,893.7658233642578,14,secondary
LASI_ax3,12,895.5982055664062,14,secondary
LASI_ax3,13,898.0832214355469,14,secondary
LASI_ax3,14,900.8939208984375,14,secondary
LASI_ax3,15,903.9033355712891,14,secondary
LASI_ax3,16,905.9034271240234,14,secondary
LASI_ax3,17,907.2523345947266,14,secondary
LASI_ax3,18,908.5814666748047,14,secondary
LASI_ax3,19,910.2027893066406,14,secondary
LASI_ax3,20,911.4736328125,14,secondary
LASI_ax3,21,912.7776489257812,14,secondary
LASI_ax3,22,914.2039031982422,14,secondary
LASI_ax3,23,915.9181671142578,14,secondary
LASI_ax3,24,917.1629333496094,14,secondary
LASI_ax3,25,918.4873199462891,14,secondary
LASI_ax3,26,919.9074249267578,14,secondary
LASI_ax3,27,920.9857940673828,14,secondary
LASI_ax3,28,922.0977020263672,14,secondary
LASI_ax3,29,923.3699340820312,14,secondary
