channel,level,signal,axis,family,anatomical_region,side,related_marker,start_idx,end_idx,start_percent,end_percent,cluster_mass,permutation_p,mean_t,mean_abs_t,mean_cliffs_delta,mean_difference,mean_victim_consistency,mean_control_consistency,direction,n_perm,unit,fdr_q,loo_sign_agreement,bootstrap_ci_low,bootstrap_ci_high,classification,source_phase,provenance
RHipAngles_ax1,primary,RHipAngles,ax1,joint_angle,hip,right,RHJC,77,83,77.0,83.0,15.0998660817155,0.1469,2.1571237259593574,2.1571237259593574,0.42617046818727494,7.210275309426444,0.689075630252101,0.8163265306122448,VICTIMS_HIGHER,9999,subject,0.1469,1.0,-2.756730256761823,17.708649499927247,UNSUPPORTED,C_related_but_phase3_not_fdr_significant,phase1_normalized_core.npz|subject_nanmedian|cluster_perm_subject_labels
LFootProgressAngles_ax2,secondary,LFootProgressAngles,ax2,foot_progression,foot,left,LTOE,8,12,8.0,12.0,10.75837146632024,0.261,-2.151674293264048,2.151674293264048,-0.4050420168067227,-2.053689217567444,0.7647058823529411,0.6857142857142857,VICTIMS_LOWER,1999,subject,0.2705,1.0,-6.113512560427189,0.34890028834342945,UNSUPPORTED,C_related_but_phase3_not_fdr_significant,phase1_normalized_core.npz|subject_nanmedian|cluster_perm_subject_labels
LFootProgressAngles_ax2,secondary,LFootProgressAngles,ax2,foot_progression,foot,left,LTOE,23,28,23.0,28.0,13.283403964066679,0.237,-2.21390066067778,2.21390066067778,-0.6162464985994397,-2.400801718235016,0.9411764705882354,0.8452380952380952,VICTIMS_LOWER,1999,subject,0.2705,1.0,-4.009687134126822,-1.305402150253455,UNSUPPORTED,C_related_but_phase3_not_fdr_significant,phase1_normalized_core.npz|subject_nanmedian|cluster_perm_subject_labels
LFootProgressAngles_ax2,secondary,LFootProgressAngles,ax2,foot_progression,foot,left,LTOE,55,58,55.0,58.0,9.15768881425488,0.2705,-2.28942220356372,2.28942220356372,-0.4159663865546218,-1.0818798243999481,0.6911764705882353,0.7678571428571428,VICTIMS_LOWER,1999,subject,0.2705,1.0,-5.010530604422092,0.366461114119738,UNSUPPORTED,C_related_but_phase3_not_fdr_significant,phase1_normalized_core.npz|subject_nanmedian|cluster_perm_subject_labels
RFootProgressAngles_ax2,secondary,RFootProgressAngles,ax2,foot_progression,foot,right,RTOE,12,17,12.0,17.0,16.24198243882334,0.2045,2.7069970731372233,2.7069970731372233,0.4313725490196078,1.0566476533810298,0.7450980392156863,0.7976190476190476,VICTIMS_HIGHER,1999,subject,0.2705,1.0,-0.04706389456987381,3.4056232348084445,UNSUPPORTED,C_related_but_phase3_not_fdr_significant,phase1_normalized_core.npz|subject_nanmedian|cluster_perm_subject_labels
HipAngles_ax1_absLminusR,primary_asymmetry,HipAngles_ax1_absLminusR,ax1,asymmetry,bilateral,bilateral,HipAngles_ax1_absLminusR,22,22,22.0,22.0,2.0651007575395326,0.4338,2.0651007575395326,2.0651007575395326,0.37815126050420167,2.34950590133667,0.7647058823529411,0.7142857142857143,VICTIMS_HIGHER,9999,subject,0.4338,1.0,-0.08065081238746627,5.498641657829283,UNSUPPORTED,C_related_but_phase3_not_fdr_significant,phase1_normalized_core.npz|subject_nanmedian|cluster_perm_subject_labels
AnkleAngles_ax1_absLminusR,primary_asymmetry,AnkleAngles_ax1_absLminusR,ax1,asymmetry,bilateral,bilateral,AnkleAngles_ax1_absLminusR,42,43,42.0,43.0,4.465241042483173,0.4234,2.2326205212415866,2.2326205212415866,0.4117647058823529,1.1200811862945557,0.7058823529411765,0.7857142857142857,VICTIMS_HIGHER,9999,subject,0.4338,1.0,-0.44181124567985536,3.937032321095466,UNSUPPORTED,C_related_but_phase3_not_fdr_significant,phase1_normalized_core.npz|subject_nanmedian|cluster_perm_subject_labels
