variable,phenotype,n,median,mean,kruskal_h,kruskal_p
mass_kg,1,27,63.20000076293945,64.3328892743146,0.0008691068945424682,0.97648127604867
mass_kg,2,4,62.5,62.82499980926514,0.0008691068945424682,0.97648127604867
height_cm,1,27,160.01998901367188,159.40851847330728,3.8448134481344667,0.04990007246919799
height_cm,2,4,163.8300018310547,164.14750289916992,3.8448134481344667,0.04990007246919799
lleg_cm,1,27,85.0,83.87037037037037,0.021868933134675583,0.8824363016234338
lleg_cm,2,4,83.5,84.25,0.021868933134675583,0.8824363016234338
rleg_cm,1,27,85.0,84.33703698052301,0.04268100793489441,0.8363270842899743
rleg_cm,2,4,83.5,84.5,0.04268100793489441,0.8363270842899743
