channel,time_percent,victim_median,control_median,difference,effect_size,t_stat,victim_consistency,control_consistency,n_victim,n_control,level
HipAngles_ax1_LminusR,0,-28.161295890808105,14.996979653835297,-43.1582755446434,-0.15966386554621848,-0.8706782478462898,0.6470588235294118,0.6428571428571429,17,14,primary_asymmetry
HipAngles_ax1_LminusR,1,-27.94451332092285,15.119873225688934,-43.064386546611786,-0.13445378151260504,-0.8488375496959969,0.6470588235294118,0.6428571428571429,17,14,primary_asymmetry
HipAngles_ax1_LminusR,2,-28.870142459869385,15.27092407643795,-44.141066536307335,-0.1092436974789916,-0.8356897196737552,0.6470588235294118,0.6428571428571429,17,14,primary_asymmetry
HipAngles_ax1_LminusR,3,-30.273959636688232,15.427771111950278,-45.70173074863851,-0.10084033613445378,-0.8277793322429369,0.6470588235294118,0.6428571428571429,17,14,primary_asymmetry
HipAngles_ax1_LminusR,4,-30.242900848388672,15.552971556782722,-45.795872405171394,-0.09243697478991597,-0.8182228190056027,0.6470588235294118,0.6428571428571429,17,14,primary_asymmetry
HipAngles_ax1_LminusR,5,-30.688807010650635,15.575456738471985,-46.26426374912262,-0.10084033613445378,-0.8136773237133565,0.6470588235294118,0.6428571428571429,17,14,primary_asymmetry
HipAngles_ax1_LminusR,6,-30.260796546936035,15.484301179647446,-45.74509772658348,-0.10084033613445378,-0.8101589671163384,0.6470588235294118,0.6428571428571429,17,14,primary_asymmetry
HipAngles_ax1_LminusR,7,-30.143226146697998,15.25893148779869,-45.40215763449669,-0.1092436974789916,-0.8125894659909523,0.6470588235294118,0.6428571428571429,17,14,primary_asymmetry
HipAngles_ax1_LminusR,8,-29.887558460235596,14.9017094373703,-44.789267897605896,-0.11764705882352941,-0.8054219271427442,0.6470588235294118,0.6428571428571429,17,14,primary_asymmetry
HipAngles_ax1_LminusR,9,-30.036751747131348,14.54323947429657,-44.57999122142792,-0.10084033613445378,-0.7920628142613872,0.6470588235294118,0.6428571428571429,17,14,primary_asymmetry
HipAngles_ax1_LminusR,10,-28.301411628723145,14.076427981257439,-42.37783960998058,-0.09243697478991597,-0.7796700841452704,0.6470588235294118,0.6428571428571429,17,14,primary_asymmetry
HipAngles_ax1_LminusR,11,-26.6448974609375,13.566169276833534,-40.211066737771034,-0.10084033613445378,-0.7731298305691879,0.6470588235294118,0.6428571428571429,17,14,primary_asymmetry
HipAngles_ax1_LminusR,12,-24.82562255859375,13.001245021820068,-37.82686758041382,-0.10084033613445378,-0.7641494883460253,0.6470588235294118,0.6428571428571429,17,14,primary_asymmetry
HipAngles_ax1_LminusR,13,-22.69713592529297,12.356104969978333,-35.0532408952713,-0.10084033613445378,-0.7575683993849197,0.6470588235294118,0.6428571428571429,17,14,primary_asymmetry
HipAngles_ax1_LminusR,14,-20.286500930786133,11.454922318458557,-31.74142324924469,-0.10084033613445378,-0.7552138826873025,0.6470588235294118,0.6428571428571429,17,14,primary_asymmetry
HipAngles_ax1_LminusR,15,-17.632129669189453,10.328600406646729,-27.96073007583618,-0.1092436974789916,-0.7525313457327979,0.6470588235294118,0.6428571428571429,17,14,primary_asymmetry
HipAngles_ax1_LminusR,16,-14.699867248535156,8.944305896759033,-23.64417314529419,-0.10084033613445378,-0.7388748780351382,0.6470588235294118,0.6428571428571429,17,14,primary_asymmetry
